neighbourhood_code,neighbourhood_name,adjacent_neighbourhoods,geo_coordinate_x,geo_coordinate_y,municipality_code,municipality_name
BU03071502,Albert Cuypstraat,"BU03071501,BU03071500,BU03071700,BU03070205,BU03071602,BU03071600,BU03070204",155124.9528,462232.7402,GM0307,Amersfoort
BU03071503,Dorrestein,"BU03071501,BU03071402,BU03071403,BU03071602,BU03071603,BU03270109",155886.6054,461388.1357,GM0307,Amersfoort
BU03071600,De Driehoek,"BU03071501,BU03071601,BU03071701,BU03071700,BU03070205,BU03071704,BU03071602,BU03071502",154885.6351,461957.683,GM0307,Amersfoort
BU03071601,Voltastraat,"BU03071701,BU03071704,BU03071602,BU03071600,BU03071603,BU03071705",154556.9073,461337.4313,GM0307,Amersfoort
BU03071602,Bosweg,"BU03071501,BU03071503,BU03071601,BU03071600,BU03071502,BU03071603",155130.5837,461506.1408,GM0307,Amersfoort
BU03071603,Nimmerdor,"BU03071503,BU03071601,BU03071602,BU03071705,BU03070502,BU03270209,BU03270109",154975.4564,460813.6891,GM0307,Amersfoort
BU03071700,Westerstraat,"BU03071701,BU03070205,BU03071600,BU03071502,BU03071702,BU03071800,BU03070206,BU03071801",154577.2387,462385.9651,GM0307,Amersfoort
BU03071701,Juliana van Stolberg,"BU03071601,BU03071700,BU03071704,BU03071600,BU03071702",154512.5766,462107.2704,GM0307,Amersfoort
BU03071702,Huygenslaan,"BU03071701,BU03071700,BU03071704,BU03071703,BU03071800",154102.9314,462125.5295,GM0307,Amersfoort
BU03071703,De Lichtenberg,"BU03071704,BU03071702,BU03071706,BU03071800,BU03071804,BU03071707",154002.1172,461717.5811,GM0307,Amersfoort
BU03071704,Verhoevenstraat,"BU03071601,BU03071701,BU03071600,BU03071703,BU03071702,BU03071706,BU03071705",154361.423,461667.2893,GM0307,Amersfoort
BU03071705,Indische Buurt,"BU03071601,BU03071704,BU03071603,BU03071706,BU03070502,BU03071707",154041.1568,460891.5944,GM0307,Amersfoort
BU03071706,Curacaolaan,"BU03071704,BU03071703,BU03071705,BU03071707",153873.1608,461147.9081,GM0307,Amersfoort
BU03071707,Klein Zwitserland,"BU03071703,BU03071706,BU03071705,BU03070502,BU03071804",153485.8234,461306.3095,GM0307,Amersfoort
BU03071800,Regentesselaan,"BU03071700,BU03071703,BU03071702,BU03071801,BU03071803,BU03071802,BU03071804",154039.5095,462384.9345,GM0307,Amersfoort
BU03071801,Station Berkenweg,"BU03071700,BU03070205,BU03071800,BU03070206,BU03070200,BU03070500,BU03071802",154140.1093,462712.3212,GM0307,Amersfoort
BU03071802,Thorbeckeplein,"BU03071800,BU03071801,BU03071803,BU03070500",153602.0664,462555.4251,GM0307,Amersfoort
BU03071803,Mr. Th. Heemskerklaan,"BU03071800,BU03070500,BU03071802,BU03070501,BU03071804",153096.1449,462317.7027,GM0307,Amersfoort
BU03071804,Oranjelaan,"BU03071703,BU03071800,BU03071803,BU03070502,BU03070501,BU03071707",153249.2169,461818.3155,GM0307,Amersfoort
BU03071900,De Ham,"BU03071901,BU03072301,BU03072300,BU03071903,BU03071904",154295.5567,465890.1008,GM0307,Amersfoort
BU03071901,Langenoord,"BU03072102,BU03071905,BU03072301,BU03071903,BU03071902,BU03071900",154545.5055,466662.5729,GM0307,Amersfoort
BU03071902,Bieshaar-Noord,"BU03071901,BU03071905,BU03072701,BU03071903,BU03071906",154103.9212,466921.5985,GM0307,Amersfoort
BU03071903,Bieshaar-Zuid,"BU03071901,BU03072701,BU03071902,BU03071904,BU03071900,BU03072700",153950.1133,466370.5478,GM0307,Amersfoort
BU03071904,De Bik,"BU03070800,BU03070900,BU03072300,BU03072701,BU03071903,BU03071900,BU03072700,BU03072709",154007.9649,465311.4744,GM0307,Amersfoort
BU03071905,De Brinken,"BU03072102,BU03072108,BU03071901,BU03072400,BU03072201,BU03071902,BU03071906",154779.0081,467226.3572,GM0307,Amersfoort
BU03071906,De Biezen,"BU03071905,BU03072400,BU03072701,BU03072402,BU03071902",154094.9304,467246.2406,GM0307,Amersfoort
BU03072000,Vlinderbuurt,"BU03072105,BU03072001,BU03072006,BU03072002,BU03072508,BU03072107",156452.2413,466409.1625,GM0307,Amersfoort
BU03072001,Erasmusstraat,"BU03072500,BU03072501,BU03072003,BU03072006,BU03072002,BU03072000,BU03070905",156437.8925,465732.0454,GM0307,Amersfoort
BU03072002,Muziekbuurt-Noord,"BU03072105,BU03072001,BU03072003,BU03072004,BU03072000",156181.6452,466284.469,GM0307,Amersfoort
BU03072003,Muziekbuurt-Zuid,"BU03072001,BU03072005,BU03072004,BU03072002,BU03070905,BU03072300",156154.0606,465798.9722,GM0307,Amersfoort
BU03072004,Architectenbuurt-Oost,"BU03072105,BU03072003,BU03072005,BU03072002",155912.0256,466014.4039,GM0307,Amersfoort
BU03072005,Architectenbuurt-West,"BU03072105,BU03072003,BU03072004,BU03072301,BU03072300",155656.2517,465922.2308,GM0307,Amersfoort
BU03072006,Sportpark Zielhorst,"BU03072001,BU03072500,BU03072501,BU03072505,BU03072507,BU03072000,BU03072508",156822.3381,466124.1921,GM0307,Amersfoort
BU03072100,Stille Steeg,"BU03072101,BU03072102,BU03072301",155160.15,466197.0066,GM0307,Amersfoort
BU03072101,Amaniet,"BU03072105,BU03072103,BU03072102,BU03072104,BU03072106,BU03072100,BU03072301",155346.2191,466428.8926,GM0307,Amersfoort
BU03072102,Woudzoom,"BU03072101,BU03072103,BU03072104,BU03072108,BU03071901,BU03071905,BU03072100,BU03072301",154919.5957,466559.3065,GM0307,Amersfoort
BU03072103,Gesloten Stad,"BU03072101,BU03072102,BU03072104,BU03072106,BU03072108",155154.4265,466737.9517,GM0307,Amersfoort
BU03072104,De Verwondering,"BU03072101,BU03072103,BU03072102,BU03072106,BU03072108",155347.2237,466907.4537,GM0307,Amersfoort
BU03072105,Emiclaer,"BU03072101,BU03072106,BU03072005,BU03072004,BU03072301,BU03072002,BU03072000,BU03072107",155811.0802,466549.7759,GM0307,Amersfoort
BU03072106,Groote Kreek,"BU03072101,BU03072105,BU03072103,BU03072104,BU03072108,BU03072301,BU03072107",155691.4395,466833.1762,GM0307,Amersfoort
BU03072107,Het Hallehuis,"BU03072805,BU03072105,BU03072106,BU03072108,BU03072201,BU03072507,BU03072000,BU03072508",156048.9852,467046.896,GM0307,Amersfoort
BU03072108,De Horizon,"BU03072103,BU03072102,BU03072104,BU03072106,BU03071905,BU03072400,BU03072201,BU03072107",155346.4184,467248.0105,GM0307,Amersfoort
BU03072201,Calveen,"BU03072805,BU03072108,BU03071905,BU03072400,BU03072407,BU03072806,BU03072107",155293.7658,467753.3959,GM0307,Amersfoort
BU03072300,Park Schothorst-Zuid,"BU03072003,BU03072005,BU03072301,BU03070903,BU03070905,BU03070900,BU03070902,BU03071904,BU03071900",154908.9059,465524.5803,GM0307,Amersfoort
BU03072301,Park Schothorst-Noord,"BU03072101,BU03072105,BU03072102,BU03072106,BU03071901,BU03072005,BU03072100,BU03072300,BU03071900",154939.5223,466061.9102,GM0307,Amersfoort
BU03072400,Stadskwartier,"BU03072108,BU03071905,BU03072201,BU03072407,BU03072402,BU03072403,BU03071906",154571.5734,467667.458,GM0307,Amersfoort
BU03072402,Hoge Hoven,"BU03072400,BU03072701,BU03072403,BU03071906",153950.4383,467592.1312,GM0307,Amersfoort
BU03072403,Centrum-Wat,"BU03072400,BU03072407,BU03072701,BU03072404,BU03072402,BU03072405",154011.64,467965.1451,GM0307,Amersfoort
BU03072404,Stadstuin,"BU03072701,BU03130007,BU03072403,BU03072405",153683.2714,468565.9937,GM0307,Amersfoort
BU03072405,Waterkwartier,"BU03072407,BU03130007,BU03072404,BU03072403",154104.4797,468437.0862,GM0307,Amersfoort
BU03072407,Lage Hoven,"BU03072400,BU03072201,BU03072806,BU03130007,BU03072403,BU03072405",154691.9528,468363.7838,GM0307,Amersfoort
BU03072500,De Hoef-West,"BU03072001,BU03071100,BU03072501,BU03072006,BU03070803,BU03070903,BU03071000,BU03070905,BU03070601,BU03070700",156475.9741,465048.4132,GM0307,Amersfoort
BU03072501,De Hoef-Oost,"BU03072001,BU03072500,BU03071100,BU03072505,BU03072504,BU03072006,BU03072507,BU03072503,BU03072502",157182.3121,465396.706,GM0307,Amersfoort
BU03072502,De Wieken,"BU03071100,BU03072501,BU03071201,BU03072503,BU03071101,BU03071301",157674.1493,464242.8515,GM0307,Amersfoort
BU03072503,Vinkenhoef,"BU03072501,BU03072505,BU03072504,BU03071201,BU03072502,BU03071202",158110.4798,464753.3165,GM0307,Amersfoort
BU03072504,Nijkerkerstraat,"BU03072506,BU03072501,BU03072505,BU03072503,BU03071202",158340.8219,465386.5033,GM0307,Amersfoort
BU03072505,Bedrijventerrein Vathorst-Zuid,"BU03072603,BU03072601,BU03072602,BU03072506,BU03072501,BU03072504,BU03072006,BU03072507,BU03072503",157736.8016,465831.6823,GM0307,Amersfoort
BU03072506,Podium,"BU03072602,BU03072901,BU03073100,BU03072505,BU03072504",158461.2104,466985.2042,GM0307,Amersfoort
BU03072507,Bedrijventerrein Vathorst-Noord,"BU03072801,BU03072805,BU03072603,BU03072601,BU03072501,BU03072505,BU03072006,BU03072804,BU03072508,BU03072107,BU03072803",156671.4205,466837.6357,GM0307,Amersfoort
BU03072508,De Brand,"BU03072006,BU03072507,BU03072000,BU03072107",156390.1551,466697.1506,GM0307,Amersfoort
BU03072600,Dorpskern Hooglanderveen,"BU03072603,BU03072601,BU03072602",157943.5715,466541.6761,GM0307,Amersfoort
BU03072601,Lient,"BU03072603,BU03072600,BU03072602,BU03072505,BU03072507",157824.5357,466228.5199,GM0307,Amersfoort
BU03072602,Hoekveen,"BU03072603,BU03072601,BU03072600,BU03072506,BU03072901,BU03073100,BU03072505",158242.2108,466771.0267,GM0307,Amersfoort
BU03072603,Heideweg,"BU03072601,BU03072600,BU03072602,BU03072901,BU03072902,BU03072505,BU03072507,BU03072804,BU03073001",157560.2214,466752.7145,GM0307,Amersfoort
BU03072700,Coelhorst,"BU03072701,BU03071903,BU03070404,BU03070403,BU03071904,BU03072709,BU03420702",153042.607,465514.6483,GM0307,Amersfoort
BU03072701,Zeldert,"BU03080109,BU03130007,BU03072404,BU03071903,BU03072402,BU03072403,BU03071902,BU03071906,BU03071904,BU03072700,BU03420702,BU03420404",151942.87,467537.6461,GM0307,Amersfoort
BU03072709,Maatweg,"BU03070800,BU03070900,BU03070402,BU03070404,BU03070403,BU03071904,BU03072700",153766.7722,464731.1863,GM0307,Amersfoort
BU03072800,Leersumseberg,"BU03072801,BU03072802,BU03072805,BU03073103",156567.9995,468090.9777,GM0307,Amersfoort
BU03072801,Emminkhuizerberg,"BU03072802,BU03072800,BU03072805,BU03072507,BU03072803",156521.5905,467672.7801,GM0307,Amersfoort
BU03072802,Sprengenberg,"BU03072801,BU03072800,BU03072900,BU03073000,BU03073103,BU03073102,BU03072803",157027.8611,467895.0272,GM0307,Amersfoort
BU03072803,Duisterweg,"BU03072801,BU03072802,BU03073000,BU03072507,BU03072804,BU03073001",156718.8953,467233.4752,GM0307,Amersfoort
BU03072804,Cycladen,"BU03072603,BU03072507,BU03072803,BU03073001",157163.8994,466758.0564,GM0307,Amersfoort
BU03072805,Reinier,"BU03072801,BU03072800,BU03073103,BU03073104,BU03072201,BU03072806,BU03072507,BU03072107",156085.3318,467807.5597,GM0307,Amersfoort
BU03072806,Smink,"BU03072805,BU03073104,BU03072201,BU03072407,BU03130007",155601.0454,468314.448,GM0307,Amersfoort
BU03072900,Roevoeterstraat,"BU03072802,BU03073000,BU03073103,BU03072901,BU03072902,BU03073101,BU03073102",157439.2689,467793.7296,GM0307,Amersfoort
BU03072901,Winkelcentrum,"BU03072900,BU03072603,BU03072602,BU03072506,BU03072902,BU03073100,BU03073101,BU03073102",157972.2377,467432.3514,GM0307,Amersfoort
BU03072902,Damespolder,"BU03072900,BU03073000,BU03072603,BU03072901,BU03073001",157760.7135,467367.1699,GM0307,Amersfoort
BU03073000,De Bron Noord,"BU03072802,BU03072900,BU03072902,BU03072803,BU03073001",157218.8506,467390.6386,GM0307,Amersfoort
BU03073001,De Bron Zuid,"BU03073000,BU03072603,BU03072902,BU03072804,BU03072803",157251.4832,467077.0226,GM0307,Amersfoort
BU03073100,De Laak Oost,"BU03073108,BU03072602,BU03072506,BU03072901,BU03073101",158398.7507,467513.8584,GM0307,Amersfoort
BU03073101,Hoornplantsoen,"BU03072900,BU03073108,BU03072901,BU03073100,BU03073102",158136.2792,467747.1227,GM0307,Amersfoort
BU03073102,Muidenkade,"BU03072802,BU03072900,BU03073103,BU03073108,BU03072901,BU03073101",157719.2874,468134.441,GM0307,Amersfoort
BU03073103,Hogesteeg,"BU03072802,BU03072800,BU03072805,BU03072900,BU03073104,BU03073108,BU03073102",156911.1301,468661.7857,GM0307,Amersfoort
BU03073104,Vathorst-West,"BU03072805,BU03073103,BU03073108,BU03072806,BU03130007",155924.841,469148.0595,GM0307,Amersfoort
BU03073108,Vathorst-Noord,"BU03073103,BU03073104,BU03073100,BU03073101,BU03073102",157530.0714,468900.074,GM0307,Amersfoort
