buurtcode,woningtype,QI_bouwjaarklasse,aantal_woningen,gem_epi,gem_oppervlakte,aantal_kleine_woningen,buurtnaam
BU03070103,Apartment,1975-1990,139,1.480647482,68.10071942,78,Lieve Vrouwekerkhof
BU03070103,Apartment,1991-2000,21,1.303333333,141,0,Lieve Vrouwekerkhof
BU03070103,Apartment,2001-2010,3,1.406666667,118,0,Lieve Vrouwekerkhof
BU03070103,Terraced house,<1946,61,2.143114754,161.6557377,6,Lieve Vrouwekerkhof
BU03070103,Terraced house,1946-1974,2,2.12,165,0,Lieve Vrouwekerkhof
BU03070103,Terraced house,1975-1990,12,1.66,131.5,0,Lieve Vrouwekerkhof
BU03070103,Terraced house,1991-2000,1,1.3,167,0,Lieve Vrouwekerkhof
BU03070103,Detached house,<1946,1,2.23,100,0,Lieve Vrouwekerkhof
BU03070104,Apartment,<1946,89,2.158988764,88.6741573,45,Coninckstraat
BU03070104,Apartment,1946-1974,38,2.217894737,48.76315789,34,Coninckstraat
BU03070104,Apartment,1975-1990,139,1.597625899,64.77697842,110,Coninckstraat
BU03070104,Apartment,1991-2000,5,1.246,135.4,0,Coninckstraat
BU03070104,Apartment,2001-2010,32,1.02875,69.625,23,Coninckstraat
BU03070104,Apartment,>2010,4,0.9,54.5,4,Coninckstraat
BU03070104,Terraced house,<1946,363,2.052203857,98.68870523,147,Coninckstraat
BU03070104,Terraced house,1946-1974,8,1.9575,118.5,2,Coninckstraat
BU03070104,Terraced house,1975-1990,46,1.632608696,89.69565217,16,Coninckstraat
BU03070104,Terraced house,1991-2000,4,1.425,100.5,0,Coninckstraat
BU03070104,Terraced house,2001-2010,1,1,148,0,Coninckstraat
BU03070104,Terraced house,>2010,1,0.9,180,0,Coninckstraat
BU03070104,Semi-detached house,<1946,8,2.45375,110.375,1,Coninckstraat
BU03070104,Semi-detached house,1975-1990,2,1.7,68,2,Coninckstraat
BU03070104,Detached house,<1946,11,2.292727273,146.6363636,2,Coninckstraat
BU03070104,Detached house,1991-2000,1,1.21,125,0,Coninckstraat
BU03070105,Apartment,<1946,75,1.738666667,68.38666667,61,Beestenmarkt
BU03070105,Apartment,1946-1974,3,2.233333333,50.33333333,3,Beestenmarkt
BU03070105,Apartment,1975-1990,358,1.497513966,80.59497207,224,Beestenmarkt
BU03070105,Apartment,1991-2000,79,1.328227848,122.5443038,0,Beestenmarkt
BU03070105,Apartment,2001-2010,29,1.265172414,91.65517241,9,Beestenmarkt
BU03070105,Apartment,>2010,22,0.803636364,48.86363636,21,Beestenmarkt
BU03070105,Terraced house,<1946,62,2.118870968,132.2419355,10,Beestenmarkt
BU03070105,Terraced house,1975-1990,4,1.66,153,0,Beestenmarkt
BU03070105,Terraced house,1991-2000,3,1.323333333,145.6666667,0,Beestenmarkt
BU03070105,Terraced house,2001-2010,1,0.9,60,1,Beestenmarkt
BU03070105,Terraced house,>2010,1,0.9,143,0,Beestenmarkt
BU03070105,Detached house,<1946,2,2.23,240.5,0,Beestenmarkt
BU03070106,Apartment,<1946,41,1.838292683,85.73170732,26,Gote Haag
BU03070106,Apartment,1946-1974,6,1.84,89,3,Gote Haag
BU03070106,Apartment,1975-1990,85,1.453058824,64.30588235,62,Gote Haag
BU03070106,Apartment,1991-2000,46,1.314130435,109.7826087,0,Gote Haag
BU03070106,Apartment,2001-2010,52,1.148269231,83.40384615,27,Gote Haag
BU03070106,Apartment,>2010,20,1.0225,47.4,18,Gote Haag
BU03070106,Terraced house,<1946,39,2.168205128,160.5641026,4,Gote Haag
BU03070106,Terraced house,1946-1974,3,2.1,151.3333333,0,Gote Haag
BU03070106,Terraced house,1975-1990,10,1.668,107.5,2,Gote Haag
BU03070106,Terraced house,1991-2000,1,1.37,61,1,Gote Haag
BU03070106,Terraced house,2001-2010,2,1.335,148,0,Gote Haag
BU03070106,Detached house,<1946,1,2.23,132,0,Gote Haag
BU03070106,Detached house,1946-1974,1,2.23,130,0,Gote Haag
BU03070107,Apartment,<1946,118,2.189830508,41.94067797,103,Stadhuisplein
BU03070107,Apartment,1946-1974,4,2.2,65.5,4,Stadhuisplein
BU03070107,Apartment,1975-1990,34,1.409117647,72.58823529,26,Stadhuisplein
BU03070107,Apartment,1991-2000,124,1.225887097,81.45967742,31,Stadhuisplein
BU03070107,Apartment,>2010,2,1.065,144,0,Stadhuisplein
BU03070107,Terraced house,<1946,13,2.254615385,135.7692308,2,Stadhuisplein
BU03070107,Terraced house,1946-1974,8,2.08375,121.875,1,Stadhuisplein
BU03070108,Apartment,<1946,50,2.1876,61.32,28,Schimmelpenninckstraat
BU03070108,Apartment,1975-1990,16,1.215,79.625,2,Schimmelpenninckstraat
BU03070108,Apartment,1991-2000,19,1.389473684,92.57894737,1,Schimmelpenninckstraat
BU03070108,Terraced house,<1946,70,2.083285714,164.8714286,1,Schimmelpenninckstraat
BU03070108,Terraced house,1975-1990,12,1.605,139.4166667,0,Schimmelpenninckstraat
BU03070108,Semi-detached house,<1946,9,2.463333333,191.6666667,0,Schimmelpenninckstraat
BU03070108,Detached house,<1946,5,2.248,236,0,Schimmelpenninckstraat
BU03070200,Apartment,1975-1990,257,1.35,41.67315175,252,Smallepad
BU03070202,Apartment,<1946,20,2.25,122.05,11,Snouckaertlaan
BU03070202,Apartment,1975-1990,127,1.538346457,51.20472441,127,Snouckaertlaan
BU03070202,Apartment,1991-2000,38,1.175263158,78.13157895,13,Snouckaertlaan
BU03070202,Apartment,2001-2010,5,0.9,118,0,Snouckaertlaan
BU03070202,Apartment,>2010,27,0.510740741,46.96296296,27,Snouckaertlaan
BU03070202,Terraced house,<1946,24,2.188333333,211.9166667,1,Snouckaertlaan
BU03070202,Terraced house,1975-1990,1,1.66,244,0,Snouckaertlaan
BU03070202,Terraced house,2001-2010,27,0.925925926,159.3333333,0,Snouckaertlaan
BU03070202,Semi-detached house,<1946,11,2.43,204.9090909,1,Snouckaertlaan
BU03070202,Detached house,<1946,1,2.23,311,0,Snouckaertlaan
BU03070202,Detached house,1975-1990,1,1.82,250,0,Snouckaertlaan
BU03070204,Apartment,<1946,34,2.257352941,53.38235294,30,Zonnehof
BU03070204,Apartment,1946-1974,18,1.967777778,81.5,6,Zonnehof
BU03070204,Apartment,1975-1990,72,1.315833333,86.27777778,45,Zonnehof
BU03070204,Apartment,2001-2010,6,0.966666667,67.83333333,6,Zonnehof
BU03070204,Terraced house,<1946,10,2.213,252.2,1,Zonnehof
BU03070204,Semi-detached house,<1946,5,2.312,130.2,0,Zonnehof
BU03070204,Semi-detached house,1946-1974,1,2.49,173,0,Zonnehof
BU03070204,Detached house,<1946,2,2.23,82.5,1,Zonnehof
BU03070205,Apartment,<1946,2,2.2,70.5,1,Weltevreden
BU03070205,Apartment,1946-1974,10,2.55,36,10,Weltevreden
BU03070205,Apartment,1975-1990,11,2.140909091,36,11,Weltevreden
BU03070205,Apartment,1991-2000,6,1.406666667,111,0,Weltevreden
BU03070205,Apartment,2001-2010,105,0.935238095,88.4,46,Weltevreden
BU03070205,Terraced house,<1946,2,2.18,205,0,Weltevreden
BU03070205,Terraced house,2001-2010,29,0.913793103,180.4137931,0,Weltevreden
BU03070205,Semi-detached house,<1946,4,2.49,155,0,Weltevreden
BU03070205,Detached house,<1946,3,2.516666667,139,0,Weltevreden
BU03070205,Detached house,1946-1974,1,1.08,546,0,Weltevreden
BU03070206,Apartment,<1946,23,2.145652174,97.95652174,3,Bloemweg
BU03070206,Apartment,1991-2000,10,1.247,110.2,1,Bloemweg
BU03070206,Apartment,2001-2010,83,1.14,100.7228916,2,Bloemweg
BU03070206,Terraced house,<1946,33,2.174848485,154.2121212,1,Bloemweg
BU03070206,Terraced house,1946-1974,3,1.92,181.3333333,0,Bloemweg
BU03070206,Terraced house,2001-2010,20,1.1045,152.35,0,Bloemweg
BU03070206,Semi-detached house,<1946,2,2.52,146.5,0,Bloemweg
BU03070206,Detached house,<1946,1,2.23,191,0,Bloemweg
BU03070300,Apartment,<1946,12,2.25,80.75,8,Rivierenbuurt-Oost
BU03070300,Apartment,1946-1974,10,2.2,81.1,4,Rivierenbuurt-Oost
BU03070300,Apartment,1975-1990,230,1.172869565,70.95652174,125,Rivierenbuurt-Oost
BU03070300,Terraced house,<1946,552,2.083894928,113.7300725,9,Rivierenbuurt-Oost
BU03070300,Terraced house,1946-1974,1,2.18,111,0,Rivierenbuurt-Oost
BU03070300,Terraced house,2001-2010,1,1.37,108,0,Rivierenbuurt-Oost
BU03070300,Semi-detached house,<1946,4,2.505,141.75,0,Rivierenbuurt-Oost
BU03070300,Detached house,<1946,1,2.23,204,0,Rivierenbuurt-Oost
BU03070301,Apartment,<1946,2,2.2,63,2,Rivierenbuurt-West
BU03070301,Apartment,1946-1974,91,2.445934066,87.38461538,49,Rivierenbuurt-West
BU03070301,Terraced house,<1946,249,2.144417671,106.9678715,2,Rivierenbuurt-West
BU03070301,Terraced house,1946-1974,183,2.135245902,101.1857923,0,Rivierenbuurt-West
BU03070301,Semi-detached house,<1946,6,2.503333333,110.8333333,0,Rivierenbuurt-West
BU03070301,Semi-detached house,1946-1974,6,1.996666667,100.5,0,Rivierenbuurt-West
BU03070301,Detached house,<1946,3,1.863333333,84.33333333,0,Rivierenbuurt-West
BU03070301,Detached house,1946-1974,3,2.47,240,0,Rivierenbuurt-West
BU03070302,Apartment,<1946,72,2.089027778,56.73611111,55,G. van Stellingwerfstraat
BU03070302,Apartment,1946-1974,4,1.915,52,4,G. van Stellingwerfstraat
BU03070302,Apartment,1975-1990,65,1.341076923,88.90769231,21,G. van Stellingwerfstraat
BU03070302,Apartment,1991-2000,29,1.33862069,72.4137931,23,G. van Stellingwerfstraat
BU03070302,Apartment,>2010,57,0.963157895,66.1754386,42,G. van Stellingwerfstraat
BU03070302,Terraced house,<1946,366,2.108415301,99.21857923,2,G. van Stellingwerfstraat
BU03070302,Terraced house,1946-1974,85,2.164823529,100,1,G. van Stellingwerfstraat
BU03070302,Terraced house,1991-2000,14,1.365,123.7142857,0,G. van Stellingwerfstraat
BU03070302,Terraced house,2001-2010,8,1.185,117,0,G. van Stellingwerfstraat
BU03070302,Terraced house,>2010,20,0.93,107.8,0,G. van Stellingwerfstraat
BU03070302,Semi-detached house,<1946,27,2.422222222,132.3333333,0,G. van Stellingwerfstraat
BU03070302,Semi-detached house,1946-1974,4,2.095,98,0,G. van Stellingwerfstraat
BU03070302,Semi-detached house,>2010,2,0.9,86,0,G. van Stellingwerfstraat
BU03070302,Detached house,<1946,7,2.358571429,106.4285714,0,G. van Stellingwerfstraat
BU03070302,Detached house,>2010,1,0.9,109,0,G. van Stellingwerfstraat
BU03070303,Apartment,<1946,59,2.182372881,60,45,Bloemenbuurt-Oost
BU03070303,Apartment,1975-1990,58,1.380344828,78.10344828,18,Bloemenbuurt-Oost
BU03070303,Apartment,1991-2000,23,1.303478261,89.08695652,3,Bloemenbuurt-Oost
BU03070303,Apartment,2001-2010,10,0.97,67,10,Bloemenbuurt-Oost
BU03070303,Apartment,>2010,23,0.913043478,43.86956522,23,Bloemenbuurt-Oost
BU03070303,Terraced house,<1946,810,2.015160494,103.1024691,16,Bloemenbuurt-Oost
BU03070303,Terraced house,1946-1974,20,2.0455,118.35,0,Bloemenbuurt-Oost
BU03070303,Terraced house,1975-1990,12,1.44,112.5833333,0,Bloemenbuurt-Oost
BU03070303,Terraced house,1991-2000,2,1.185,206,0,Bloemenbuurt-Oost
BU03070303,Terraced house,2001-2010,12,1.2775,135.0833333,0,Bloemenbuurt-Oost
BU03070303,Terraced house,>2010,4,0.9,48,4,Bloemenbuurt-Oost
BU03070303,Semi-detached house,<1946,24,2.38125,117.2083333,1,Bloemenbuurt-Oost
BU03070303,Semi-detached house,1946-1974,2,2.645,109,0,Bloemenbuurt-Oost
BU03070303,Detached house,<1946,10,2.216,114.5,4,Bloemenbuurt-Oost
BU03070303,Detached house,1975-1990,1,1.82,235,0,Bloemenbuurt-Oost
BU03070304,Apartment,<1946,23,1.986086957,55.60869565,19,Bloemenbuurt-West
BU03070304,Apartment,1946-1974,7,2.245714286,28,7,Bloemenbuurt-West
BU03070304,Terraced house,<1946,603,2.15973466,97.76616915,14,Bloemenbuurt-West
BU03070304,Terraced house,1946-1974,48,2.277708333,105.9166667,0,Bloemenbuurt-West
BU03070304,Terraced house,1975-1990,3,1.586666667,107.6666667,0,Bloemenbuurt-West
BU03070304,Terraced house,2001-2010,8,1.36125,140.75,0,Bloemenbuurt-West
BU03070304,Semi-detached house,<1946,30,2.340333333,113.7,0,Bloemenbuurt-West
BU03070304,Detached house,<1946,6,2.366666667,120.5,1,Bloemenbuurt-West
BU03070305,Apartment,1946-1974,187,1.845828877,66.04812834,75,Bomenbuurt
BU03070305,Apartment,1975-1990,10,1.423,70.4,8,Bomenbuurt
BU03070305,Terraced house,<1946,2,1.48,107.5,0,Bomenbuurt
BU03070305,Terraced house,1946-1974,496,1.949637097,114.7056452,0,Bomenbuurt
BU03070306,Apartment,<1946,2,2.2,64,2,Puntenburg
BU03070306,Apartment,2001-2010,467,1.164518201,107.6766595,27,Puntenburg
BU03070306,Apartment,>2010,292,0.942294521,67.68150685,216,Puntenburg
BU03070306,Terraced house,<1946,23,2.219130435,109.4347826,0,Puntenburg
BU03070306,Terraced house,2001-2010,85,0.937058824,159.6823529,0,Puntenburg
BU03070306,Terraced house,>2010,8,0.9125,151.75,0,Puntenburg
BU03070306,Semi-detached house,<1946,2,2.085,108,0,Puntenburg
BU03070306,Detached house,1975-1990,1,1.82,853,0,Puntenburg
BU03070307,Apartment,2001-2010,12,0.916666667,128,0,Piet Mondriaanlaan
BU03070307,Apartment,>2010,103,0.945631068,57.41747573,94,Piet Mondriaanlaan
BU03070307,Terraced house,2001-2010,20,0.93,162.35,0,Piet Mondriaanlaan
BU03070307,Terraced house,>2010,16,0.91875,129.375,0,Piet Mondriaanlaan
BU03070401,Apartment,>2010,72,0.865138889,85.48611111,11,Eemplein
BU03070401,Detached house,<1946,1,2.23,244,0,Eemplein
BU03070402,Apartment,<1946,2,2.8,63,2,Geldersestraat
BU03070402,Apartment,1946-1974,2,2.2,89,0,Geldersestraat
BU03070402,Detached house,1946-1974,1,2.23,69,1,Geldersestraat
BU03070403,Apartment,1946-1974,2,2.375,157,0,Chromiumweg
BU03070403,Terraced house,1946-1974,1,2.55,142,0,Chromiumweg
BU03070403,Semi-detached house,1946-1974,2,2.49,133.5,0,Chromiumweg
BU03070403,Semi-detached house,1975-1990,1,1.8,123,0,Chromiumweg
BU03070403,Detached house,1946-1974,5,2.466,155.8,0,Chromiumweg
BU03070403,Detached house,1975-1990,3,1.716666667,216.3333333,0,Chromiumweg
BU03070403,Detached house,1991-2000,1,1.21,105,0,Chromiumweg
BU03070403,Detached house,2001-2010,2,1.055,89,1,Chromiumweg
BU03070404,Apartment,1946-1974,2,2.2,63,2,Uraniumweg
BU03070404,Apartment,1975-1990,2,1.35,101,0,Uraniumweg
BU03070404,Detached house,<1946,2,2.23,212,0,Uraniumweg
BU03070404,Detached house,1946-1974,4,2.23,127,0,Uraniumweg
BU03070404,Detached house,1975-1990,1,1.82,68,1,Uraniumweg
BU03070404,Detached house,1991-2000,1,1.38,766,0,Uraniumweg
BU03070500,Apartment,<1946,4,2.2,112.5,0,Birkhoven en Bokkeduinen
BU03070500,Apartment,1946-1974,5,2.2,76.8,4,Birkhoven en Bokkeduinen
BU03070500,Apartment,1975-1990,62,1.692580645,43.74193548,62,Birkhoven en Bokkeduinen
BU03070500,Semi-detached house,>2010,2,0.9,159,0,Birkhoven en Bokkeduinen
BU03070500,Detached house,<1946,3,2.23,284,0,Birkhoven en Bokkeduinen
BU03070500,Detached house,1946-1974,9,2.258888889,227.2222222,0,Birkhoven en Bokkeduinen
BU03070500,Detached house,1991-2000,2,1.24,275,0,Birkhoven en Bokkeduinen
BU03070500,Detached house,>2010,1,0.9,143,0,Birkhoven en Bokkeduinen
BU03070501,Apartment,<1946,72,1.840833333,88.11111111,25,Vlasakkers
BU03070501,Terraced house,>2010,4,0.77,150,0,Vlasakkers
BU03070501,Semi-detached house,<1946,2,2.645,191,0,Vlasakkers
BU03070501,Detached house,<1946,15,2.364666667,348.2666667,0,Vlasakkers
BU03070501,Detached house,1946-1974,4,2.215,348.75,0,Vlasakkers
BU03070501,Detached house,1975-1990,1,1.82,350,0,Vlasakkers
BU03070501,Detached house,1991-2000,1,1.21,193,0,Vlasakkers
BU03070501,Detached house,>2010,13,0.9,224.0769231,0,Vlasakkers
BU03070502,Apartment,<1946,2,2.2,100,1,Zon en Schild
BU03070502,Apartment,1946-1974,5,2.2,129.6,0,Zon en Schild
BU03070502,Apartment,1975-1990,16,1.379375,164.25,0,Zon en Schild
BU03070502,Terraced house,<1946,2,2.11,101,0,Zon en Schild
BU03070502,Terraced house,1946-1974,3,2.1,100,0,Zon en Schild
BU03070502,Semi-detached house,<1946,4,2.505,165.75,0,Zon en Schild
BU03070502,Detached house,<1946,13,2.298461538,200.1538462,0,Zon en Schild
BU03070502,Detached house,1946-1974,10,2.287,117.7,5,Zon en Schild
BU03070502,Detached house,2001-2010,1,1.21,154,0,Zon en Schild
BU03070502,Detached house,>2010,3,0.9,213.3333333,0,Zon en Schild
BU03070600,Terraced house,1946-1974,313,1.404792332,88.0798722,0,Jericho en Jeruzalem
BU03070600,Semi-detached house,<1946,2,2.49,141.5,0,Jericho en Jeruzalem
BU03070600,Semi-detached house,1946-1974,12,2.085,137.75,0,Jericho en Jeruzalem
BU03070600,Detached house,<1946,3,2.23,178,0,Jericho en Jeruzalem
BU03070600,Detached house,1946-1974,5,2.234,160.4,0,Jericho en Jeruzalem
BU03070600,Detached house,1975-1990,1,1.82,204,0,Jericho en Jeruzalem
BU03070600,Detached house,1991-2000,1,1.21,158,0,Jericho en Jeruzalem
BU03070601,Apartment,1946-1974,286,1.592412587,84.08741259,86,Meridiaan
BU03070601,Apartment,1991-2000,80,1.196,63.7875,75,Meridiaan
BU03070601,Apartment,>2010,206,0.815728155,88.51941748,5,Meridiaan
BU03070601,Terraced house,1946-1974,42,2.255,103.8333333,0,Meridiaan
BU03070601,Terraced house,1991-2000,10,1.363,151.2,0,Meridiaan
BU03070601,Terraced house,2001-2010,80,0.92125,129.9875,0,Meridiaan
BU03070601,Semi-detached house,<1946,2,2.645,115.5,0,Meridiaan
BU03070601,Semi-detached house,1991-2000,8,1.3225,136,0,Meridiaan
BU03070603,Apartment,1991-2000,32,1.3384375,96.5,0,Gildekwartier
BU03070603,Apartment,2001-2010,207,1.199082126,119.0289855,0,Gildekwartier
BU03070603,Apartment,>2010,75,0.7944,86.61333333,10,Gildekwartier
BU03070603,Terraced house,<1946,2,2.11,294,0,Gildekwartier
BU03070603,Terraced house,1946-1974,35,0.838,108.0571429,0,Gildekwartier
BU03070603,Terraced house,1991-2000,42,1.335952381,154.0238095,0,Gildekwartier
BU03070603,Terraced house,2001-2010,35,1.251714286,150.7714286,0,Gildekwartier
BU03070603,Terraced house,>2010,14,0.907142857,133.5714286,0,Gildekwartier
BU03070603,Semi-detached house,2001-2010,2,1.36,178,0,Gildekwartier
BU03070603,Detached house,1991-2000,1,1.21,200,0,Gildekwartier
BU03070603,Detached house,2001-2010,1,1,178,0,Gildekwartier
BU03070700,Apartment,<1946,3,2.2,68.66666667,3,Evertsenstraat
BU03070700,Apartment,1946-1974,320,1.82578125,63.415625,287,Evertsenstraat
BU03070700,Apartment,2001-2010,158,1.032151899,94.78481013,0,Evertsenstraat
BU03070700,Terraced house,<1946,236,2.205127119,97.07627119,1,Evertsenstraat
BU03070700,Terraced house,1946-1974,117,1.885811966,100.5213675,1,Evertsenstraat
BU03070700,Terraced house,1975-1990,6,1.66,124.6666667,0,Evertsenstraat
BU03070700,Terraced house,2001-2010,126,0.922539683,147.1190476,0,Evertsenstraat
BU03070700,Terraced house,>2010,37,1,109.9459459,0,Evertsenstraat
BU03070700,Semi-detached house,<1946,4,2.49,133,0,Evertsenstraat
BU03070700,Semi-detached house,1946-1974,3,2.536666667,155.3333333,0,Evertsenstraat
BU03070700,Semi-detached house,1975-1990,2,1.8,87,0,Evertsenstraat
BU03070700,Semi-detached house,2001-2010,10,0.93,195,0,Evertsenstraat
BU03070700,Detached house,<1946,4,2.0225,199.5,0,Evertsenstraat
BU03070700,Detached house,1946-1974,3,2.163333333,205.3333333,0,Evertsenstraat
BU03070701,Apartment,1946-1974,78,2.112435897,80.48717949,53,Neptunusplein
BU03070701,Apartment,1975-1990,90,1.370555556,65.26666667,90,Neptunusplein
BU03070701,Apartment,1991-2000,24,1.342916667,89,0,Neptunusplein
BU03070701,Apartment,2001-2010,157,1.007961783,92.60509554,0,Neptunusplein
BU03070701,Apartment,>2010,58,1.027586207,82.75862069,16,Neptunusplein
BU03070701,Terraced house,<1946,180,2.192722222,106.2166667,0,Neptunusplein
BU03070701,Terraced house,1946-1974,232,2.004181034,99.86206897,10,Neptunusplein
BU03070701,Terraced house,1975-1990,34,1.635294118,131.6764706,0,Neptunusplein
BU03070701,Terraced house,2001-2010,43,0.918604651,133.1627907,0,Neptunusplein
BU03070701,Semi-detached house,<1946,12,2.561666667,126,0,Neptunusplein
BU03070701,Semi-detached house,1946-1974,3,2.41,168,0,Neptunusplein
BU03070701,Detached house,<1946,7,2.31,245.5714286,0,Neptunusplein
BU03070701,Detached house,1946-1974,3,2.433333333,194.3333333,0,Neptunusplein
BU03070702,Apartment,<1946,4,2.2,89.5,3,Columbusweg
BU03070702,Apartment,1946-1974,525,1.896609524,59.02285714,485,Columbusweg
BU03070702,Apartment,1991-2000,136,1.211838235,79.52941176,67,Columbusweg
BU03070702,Apartment,>2010,103,0.953300971,100.2621359,23,Columbusweg
BU03070702,Terraced house,<1946,9,2.11,151.1111111,0,Columbusweg
BU03070702,Terraced house,1946-1974,139,1.907482014,98.97841727,33,Columbusweg
BU03070702,Terraced house,1991-2000,27,1.31,140.0740741,0,Columbusweg
BU03070702,Semi-detached house,<1946,7,2.441428571,116.1428571,1,Columbusweg
BU03070702,Semi-detached house,1946-1974,14,2.079285714,127.9285714,0,Columbusweg
BU03070702,Semi-detached house,1975-1990,1,1.36,89,0,Columbusweg
BU03070702,Semi-detached house,1991-2000,4,1.42,123.75,0,Columbusweg
BU03070702,Detached house,<1946,2,2.525,98.5,0,Columbusweg
BU03070702,Detached house,1946-1974,7,2.401428571,144.8571429,0,Columbusweg
BU03070800,Apartment,1946-1974,317,1.674132492,64.14195584,270,Vuurtoren
BU03070800,Apartment,1975-1990,26,1.565384615,67.84615385,13,Vuurtoren
BU03070800,Apartment,1991-2000,20,1.339,125.75,0,Vuurtoren
BU03070800,Terraced house,1946-1974,241,1.797966805,129.2448133,0,Vuurtoren
BU03070800,Terraced house,1975-1990,152,1.655065789,151.25,0,Vuurtoren
BU03070800,Terraced house,1991-2000,69,1.360144928,166.6956522,0,Vuurtoren
BU03070800,Semi-detached house,1975-1990,4,1.88,185.25,1,Vuurtoren
BU03070800,Semi-detached house,1991-2000,18,1.33,178.8333333,0,Vuurtoren
BU03070800,Detached house,1946-1974,2,1.875,404.5,0,Vuurtoren
BU03070800,Detached house,1975-1990,3,1.82,225.3333333,0,Vuurtoren
BU03070800,Detached house,1991-2000,6,1.225,165.8333333,0,Vuurtoren
BU03070801,Apartment,1946-1974,407,1.796781327,90.22358722,34,De Plaatsen
BU03070801,Apartment,1975-1990,92,1.393152174,60.73913043,78,De Plaatsen
BU03070801,Apartment,1991-2000,20,1.3515,94,0,De Plaatsen
BU03070801,Terraced house,1946-1974,283,1.758021201,122.0777385,0,De Plaatsen
BU03070801,Terraced house,1975-1990,1,1.63,79,0,De Plaatsen
BU03070801,Terraced house,1991-2000,15,1.336,139.6666667,0,De Plaatsen
BU03070801,Detached house,1946-1974,3,1.78,219.6666667,0,De Plaatsen
BU03070803,Apartment,1975-1990,139,1.438201439,61.97841727,88,Koperhorst
BU03070803,Terraced house,1946-1974,314,1.994076433,136.0063694,0,Koperhorst
BU03070803,Terraced house,1975-1990,43,1.62,140.6744186,0,Koperhorst
BU03070803,Semi-detached house,1946-1974,4,2.41,136.75,0,Koperhorst
BU03070803,Semi-detached house,1975-1990,6,1.583333333,146.1666667,0,Koperhorst
BU03070803,Detached house,1946-1974,1,2.23,199,0,Koperhorst
BU03070803,Detached house,1975-1990,2,1.45,203,0,Koperhorst
BU03070900,Apartment,1946-1974,2,2.2,105.5,0,Elly Takmastraat
BU03070900,Apartment,1975-1990,125,1.44808,70.488,75,Elly Takmastraat
BU03070900,Apartment,1991-2000,31,1.14483871,75.09677419,7,Elly Takmastraat
BU03070900,Terraced house,1975-1990,715,1.590083916,120.2237762,0,Elly Takmastraat
BU03070900,Terraced house,1991-2000,17,1.179411765,145.4705882,0,Elly Takmastraat
BU03070900,Semi-detached house,<1946,1,2.49,195,0,Elly Takmastraat
BU03070900,Semi-detached house,1946-1974,1,2.49,211,0,Elly Takmastraat
BU03070900,Semi-detached house,1975-1990,3,1.8,242.3333333,0,Elly Takmastraat
BU03070900,Detached house,1946-1974,1,2.23,252,0,Elly Takmastraat
