fid,source_name,available_heat,source_id,geo_coordinate_x,geo_coordinate_y,neighbourhoods_in_range
"76",Webawere Internet Solutions BV,"157680",LTHP0076,126247,473467,"GM0736_43,GM0736_53,GM0736_65"
"77",Routit BV,"157680",LTHP0077,170785,448542,
"78",Digimo Media Groep BV,"157680",LTHP0078,104040,488779,
"79",Hosting NL BV,"157680",LTHP0079,104761,486568,
"80",Supercharged Facilities Netherlands BV,"157680",LTHP0080,103565,487660,
"81",Verzekeringssite BV,"157680",LTHP0081,104995,489069,
"82",Adusem BV,"157680",LTHP0082,107791,479317,
"83",Autodata Nederland BV,"157680",LTHP0083,112316,478374,
"84",Basefarm BV,"157680",LTHP0084,111146,476905,
"85",Secure Internet Machines  SIM  BV,"157680",LTHP0085,108678,511411,
"86",Rovitech ICT BV,"157680",LTHP0086,139029,447953,"GM0321_2,GM0321_46,GM0321_28,GM0321_70,GM0321_6,GM0321_48,GM0321_49,GM0321_68"
"87",Telecom  Paper BV,"157680",LTHP0087,140208,449029,"GM0321_41,GM0321_62,GM0321_12,GM0321_45,GM0321_57,GM0321_5,GM0321_89,GM0321_82,GM0321_34,GM0321_59,GM0321_23,GM0321_76,GM0321_39,GM0321_55,GM0321_27,GM0321_20,GM0321_64,GM0321_46"
"88",ASP4All Hosting BV,"157680",LTHP0088,145215,479880,
"89",Proximedia Nederland BV,"157680",LTHP0089,132271,447367,"GM0353_30,GM0353_41,GM0353_44,GM0353_4,GM0353_40,GM0353_55,GM0353_49,GM0353_46,GM0353_17,GM0353_16,GM0353_3,GM0353_32"
"90",Friks Web   Marketing VOF,"157680",LTHP0090,182926,579610,
"91",Datacenter Services BV,"157680",LTHP0091,157203,461869,"GM0327_33,GM0327_24,GM0327_22,GM0327_3,GM0327_9"
"92",Pcextreme BV,"157680",LTHP0092,32026,390679,"GM0687_40,GM0687_59,GM0687_87,GM0687_88,GM0687_14,GM0687_12,GM0687_75,GM0687_80,GM0687_0,GM0687_73,GM0687_10,GM0687_43,GM0687_71,GM0687_65,GM0687_25,GM0687_74,GM0687_32,GM0687_34,GM0687_66,GM0687_22"
"93",Infostrada Statistics BV,"157680",LTHP0093,134615,448614,"GM0356_74,GM0356_113,GM0356_90,GM0356_115,GM0356_21,GM0356_55,GM0356_60,GM0356_42,GM0356_26,GM0356_101,GM0356_17,GM0356_19,GM0356_72,GM0356_120,GM0356_149,GM0356_136,GM0356_12,GM0356_66,GM0356_82,GM0356_109,GM0356_106"
"94",Knowledge Exchange BV,"157680",LTHP0094,135461,449312,"GM0356_32,GM0356_74,GM0356_139,GM0356_115,GM0356_21,GM0356_57,GM0356_52,GM0356_43,GM0356_42,GM0356_49"
"95",Men4Media BV,"157680",LTHP0095,161487,470328,
"96",Disk ad Publishing and Communication BV,"157680",LTHP0096,123317,482820,"GM0437_13,GM0437_12,GM0437_4,GM0437_31"
"97",Le Nez De Saumon BV,"157680",LTHP0097,123843,483068,"GM0437_13,GM0437_4,GM0437_31,GM0437_6,GM0437_17"
"98",Weblab NL BV,"157680",LTHP0098,92484,437460,"GM0599_1_180,GM0599_1_116,GM0599_1_75,GM0599_1_1,GM0599_1_213,GM0599_1_269,GM0599_1_71,GM0599_1_252,GM0599_1_274,GM0599_1_84,GM0599_1_6,GM0599_2_68,GM0599_1_64,GM0599_1_227,GM0599_1_224,GM0599_1_232,GM0599_1_4,GM0599_1_124,GM0599_1_111,GM0599_2_100,GM0599_1_45,GM0599_1_120,GM0599_1_61,GM0599_1_128,GM0599_1_31,GM0599_1_174,GM0599_1_210,GM0599_1_51,GM0599_1_292,GM0599_1_95,GM0599_1_129,GM0599_1_282,GM0599_1_281,GM0599_2_89,GM0599_2_156,GM0599_2_187,GM0599_2_173"
"99",Weblab NL BV,"157680",LTHP0099,92484,437460,"GM0599_1_180,GM0599_1_116,GM0599_1_75,GM0599_1_1,GM0599_1_213,GM0599_1_269,GM0599_1_71,GM0599_1_252,GM0599_1_274,GM0599_1_84,GM0599_1_6,GM0599_2_68,GM0599_1_64,GM0599_1_227,GM0599_1_224,GM0599_1_232,GM0599_1_4,GM0599_1_124,GM0599_1_111,GM0599_2_100,GM0599_1_45,GM0599_1_120,GM0599_1_61,GM0599_1_128,GM0599_1_31,GM0599_1_174,GM0599_1_210,GM0599_1_51,GM0599_1_292,GM0599_1_95,GM0599_1_129,GM0599_1_282,GM0599_1_281,GM0599_2_89,GM0599_2_156,GM0599_2_187,GM0599_2_173"
"100",Youwe Concept BV,"157680",LTHP0100,92421,437349,"GM0599_1_180,GM0599_1_116,GM0599_1_253,GM0599_1_75,GM0599_1_1,GM0599_1_213,GM0599_1_269,GM0599_1_71,GM0599_1_252,GM0599_1_274,GM0599_1_64,GM0599_1_227,GM0599_1_258,GM0599_1_224,GM0599_1_232,GM0599_1_160,GM0599_1_0,GM0599_1_4,GM0599_1_124,GM0599_1_111,GM0599_1_45,GM0599_1_120,GM0599_1_61,GM0599_1_128,GM0599_1_31,GM0599_1_174,GM0599_1_210,GM0599_1_51,GM0599_1_292,GM0599_1_95,GM0599_1_129,GM0599_1_282,GM0599_1_281"
"101",Planmen Nederland BV,"157680",LTHP0101,129118,463961,"GM1904_57,GM1904_0,GM1904_103,GM1904_39,GM1904_93"
"102",Autoscout24 Nederland BV,"157680",LTHP0102,135054,443128,"GM1961_66,GM1961_56,GM1961_85,GM1961_37,GM1961_100,GM1961_71"
"103",Netrex NL BV,"157680",LTHP0103,120860,455465,"GM0632_79,GM0632_41,GM0632_53,GM0632_61,GM0632_66,GM0632_40,GM0632_78,GM0632_86,GM0632_70,GM0632_16,GM0632_56,GM0632_7,GM0632_44,GM0632_18,GM0632_36,GM0632_92,GM0632_48,GM0632_22,GM0632_63,GM0632_42,GM0632_19,GM0632_93"
"104",Pincode Telenet BV,"157680",LTHP0104,121260,454595,"GM0632_80,GM0632_59,GM0632_86,GM0632_70,GM0632_16,GM0632_44,GM0632_18"
"105",EuroFiber Nijverheidsweg  Utrecht,"157680",LTHP0105,134214,457034,"GM0344_1_137,GM0344_1_106,GM0344_1_2,GM0344_1_118,GM0344_1_146,GM0344_1_20,GM0344_1_88,GM0344_1_180,GM0344_1_68"
"106",RAM Infotechnology  Utrecht,"157680",LTHP0106,133904,453432,"GM0344_4_49,GM0344_4_22,GM0344_3_111,GM0344_3_27"
"107",RWZI   Nieuwe Waterweg,"164013",LTHP0107,70431,442877,"GM0599_7_126,GM0599_7_136"
"108",RWZI   Leeuwarden,"165538",LTHP0108,184427,578946,
"109",RWZI   Groenedijk,"173930",LTHP0109,101048,438227,"GM0542_43,GM0542_7,GM0542_24,GM0502_45,GM0502_133,GM0502_58,GM0502_107,GM0502_70,GM0502_50,GM0502_71,GM0502_30,GM0502_120,GM0502_6,GM0502_24,GM0502_81,GM0502_67,GM0502_7,GM0502_73"
"110",RWZI   Walcheren,"175074",LTHP0110,31924,385229,"GM0718_0,GM0718_69"
"111",RWZI   Zeist,"175761",LTHP0111,142873,455509,"GM0355_77,GM0355_132,GM0355_118,GM0355_28,GM0355_67,GM0355_126,GM0355_108,GM0355_20,GM0355_102,GM0355_9,GM0310_55,GM0355_8,GM0355_50"
"112",Sanorice Netherlands BV,"179878",LTHP0112,167214,447208,"GM0345_5,GM0345_101,GM0345_112,GM0345_48,GM0345_89,GM0345_33,GM0345_6,GM0345_15,GM0345_10"
"113",WRK II,"189216",LTHP0113,132757,455781,"GM0344_4_79,GM0344_4_148,GM0344_4_71,GM0344_4_69,GM0344_4_134,GM0344_4_65,GM0344_4_137,GM0344_4_35,GM0344_4_14,GM0344_4_17,GM0344_4_8,GM0344_4_76,GM0344_4_53,GM0344_4_156,GM0344_4_123,GM0344_4_107"
"114",WRK II,"189216",LTHP0114,131647,457014,"GM0344_4_56,GM0344_4_73,GM0344_4_10,GM0344_4_1,GM0344_4_64,GM0344_4_7,GM0344_4_84,GM0344_4_19,GM0344_4_86,GM0344_4_15,GM0344_4_39,GM0344_4_126,GM0344_4_108,GM0344_4_117,GM0344_4_26,GM0344_4_2,GM0344_4_11"
"115",WRK I,"189216",LTHP0115,132530,456201,"GM0344_4_65,GM0344_4_158,GM0344_4_137,GM0344_4_130,GM0344_4_32,GM0344_4_108,GM0344_4_80,GM0344_4_101,GM0344_4_48,GM0344_4_42,GM0344_4_150,GM0344_4_35,GM0344_4_14,GM0344_4_17,GM0344_4_8,GM0344_4_76,GM0344_4_53,GM0344_4_156,GM0344_4_123,GM0344_4_107"
"116",WRK I,"189216",LTHP0116,131410,457535,"GM0344_4_46,GM0344_4_13,GM0344_4_109,GM0344_4_1,GM0344_4_64,GM0344_4_86,GM0344_4_126,GM0344_4_26,GM0344_4_2,GM0344_4_6,GM0344_4_11"
"117",Digital Realty Trust NL   H J E  Wenckebachweg,"190530",LTHP0117,123975,483272,"GM0437_13,GM0437_4,GM0437_31,GM0437_6,GM0437_17,GM0437_29,GM0437_5"
"118",RWZI   Haarlem Waarderpolder,"190713",LTHP0118,105879,490183,
"119",RWZI   Nieuwegein,"192238",LTHP0119,133422,446361,"GM0353_30,GM0353_41,GM0356_123,GM0356_122,GM0356_16,GM0353_3,GM0353_23,GM0353_32,GM0356_8"
"120",RWZI   Velsen,"203223",LTHP0120,105597,497038,GM0375_48
"121",RWZI   Hoogvliet,"206885",LTHP0121,82417,432428,"GM0599_7_94,GM0599_7_164,GM0599_7_1"
"122",Archer Daniels Midland Europoort BV,"218229",LTHP0122,68016,441498,GM0599_7_27
"123",Loders Croklaan BV,"218229",LTHP0123,103277,424496,"GM0642_81,GM0642_77,GM0642_20,GM0642_33,GM0642_62,GM0642_29,GM0642_17,GM0642_42,GM0642_25,GM0642_69,GM0642_24,GM0642_64,GM0642_27,GM0505_18,GM0505_40,GM0505_9"
"124",Sime Darby Unimills BV,"218229",LTHP0124,103277,424496,"GM0642_81,GM0642_77,GM0642_20,GM0642_33,GM0642_62,GM0642_29,GM0642_17,GM0642_42,GM0642_25,GM0642_69,GM0642_24,GM0642_64,GM0642_27,GM0505_18,GM0505_40,GM0505_9"
"125",RWZI   Ridderkerk,"219701",LTHP0125,102289,431886,"GM0597_36,GM0597_12,GM0597_63,GM0597_76,GM0597_19,GM0597_67"
"126",Atom86,"220752",LTHP0126,111566,476520,"GM0358_17,GM0358_44,GM0358_68,GM0358_4,GM0358_45,GM0358_65"
"127",RWZI   Leiden Zuid West,"241671",LTHP0127,92419,461409,
"128",RWZI   Ede,"242586",LTHP0128,170940,450253,
"129",A H  Bunnik BV,"248224",LTHP0129,165355,446648,"GM0345_79,GM0345_78,GM0345_58,GM0345_24,GM0345_98,GM0340_23,GM0345_20,GM0345_9,GM0345_93"
"130",Hoek Foodretail BV,"248224",LTHP0130,167505,449356,"GM0345_82,GM0345_77,GM0345_26,GM0345_64,GM0345_16,GM0345_108,GM0345_94,GM0345_99,GM0345_25,GM0345_61,GM0345_27,GM0345_39,GM0345_52,GM0345_96,GM0345_45,GM0345_71,GM0345_46,GM0345_37,GM0345_69,GM0345_57"
"131",Hoogvliet BV,"248224",LTHP0131,166442,448441,"GM0345_35,GM0345_36,GM0345_106,GM0345_18,GM0345_1,GM0345_27,GM0345_47,GM0345_115,GM0345_114,GM0345_105,GM0345_96,GM0345_92,GM0345_90,GM0345_113,GM0345_43,GM0345_4,GM0345_116,GM0345_38,GM0345_34,GM0345_56,GM0345_101,GM0345_86,GM0345_11"
"132",S  Huibers Veenendaal BV,"248224",LTHP0132,165742,449052,"GM0345_8,GM0345_59,GM0345_55,GM0345_47,GM0345_115,GM0345_114,GM0345_30,GM0345_105,GM0345_96,GM0345_68,GM0345_22,GM0345_109,GM0345_4,GM0345_104,GM0345_110,GM0345_12,GM0345_13,GM0345_23,GM0345_75,GM0345_76,GM0345_103,GM0345_84,GM0345_32,GM0345_100"
"133",RWZI   Amersfoort,"346896",LTHP0133,152669,465001,"GM0342_18,GM0307_2_105,GM0307_1_50,GM0307_1_119,GM0307_2_131,GM0342_48"
"134",RWZI   Kortenoord,"265472",LTHP0134,103071,442971,"GM1892_35,GM1892_42,GM1892_26,GM1931_61,GM1892_18,GM1892_43,GM1892_58,GM1892_62"
"135",RWZI   Westpoort,"313074",LTHP0135,115092,492034,
"136",Interxion AMS 3,"315360",LTHP0136,112952,477537,GM0358_33
"137",Interxion AMS 6,"315360",LTHP0137,112612,477662,
"138",RWZI   Zwanenburg,"315820",LTHP0138,110648,486380,
"139",RWZI   Hazerswoude Dorp,"346896",LTHP0139,101232,457130,
"140",RWZI   Goudswaard,"346896",LTHP0140,78093,422722,"GM1963_127,GM1963_88,GM1963_89,GM1963_33"
"141",RWZI   Stompwijk,"346896",LTHP0141,92343,456479,GM1916_68
"142",RWZI   Gelkenes,"346896",LTHP0142,117478,438146,"GM1978_65,GM1978_27,GM1978_10"
"143",RWZI   Aardam West,"346896",LTHP0143,108442,464392,
"144",RWZI   Langeraar,"346896",LTHP0144,108604,467684,
"145",RWZI   Zuidland,"346896",LTHP0145,77192,424576,"GM1963_127,GM1930_103"
"146",RWZI   Houtrust,"346896",LTHP0146,78269,456222,"GM0518_2_113,GM0518_2_149,GM0518_2_194,GM0518_4_128,GM0518_2_146,GM0518_2_55,GM0518_2_28,GM0518_2_157,GM0518_2_6,GM0518_2_54,GM0518_2_181,GM0518_4_137,GM0518_4_112,GM0518_4_133,GM0518_4_143,GM0518_4_86,GM0518_4_12,GM0518_4_153,GM0518_4_82,GM0518_4_34,GM0518_4_162,GM0518_2_156"
"147",RWZI   Sint Philipsland,"346896",LTHP0147,68985,403488,GM0716_42
"148",RWZI   Burgum,"346896",LTHP0148,196120,577593,"GM0737_35,GM0737_14,GM0737_49,GM0737_39,GM0737_10,GM0737_9,GM0737_27,GM0737_52"
"149",Promelca BV,"349734",LTHP0149,125195,426844,"GM0512_9,GM0512_24,GM0512_38,GM0512_19,GM0512_72,GM0512_18,GM0512_58,GM0512_16"
"150",De Indruk Internetcommunicatie BV,"372546",LTHP0150,167980,449802,"GM0345_26,GM0345_64,GM0345_16,GM0345_108,GM0345_46,GM0345_37,GM0345_69,GM0345_57"
"151",WRK III,"378432",LTHP0151,133108,455309,"GM0344_4_79,GM0344_4_148,GM0344_4_71,GM0344_4_152,GM0344_4_69,GM0344_4_134,GM0344_4_35,GM0344_4_8,GM0344_4_53"
"152",WRK III,"378432",LTHP0152,132007,456485,"GM0344_4_65,GM0344_4_158,GM0344_4_73,GM0344_4_37,GM0344_4_7,GM0344_4_130,GM0344_4_32,GM0344_4_84,GM0344_4_19,GM0344_4_15,GM0344_4_39,GM0344_4_126,GM0344_4_108,GM0344_4_117,GM0344_4_101,GM0344_4_14,GM0344_4_107"
"153",S W I F T  Society for Worldwide Interbank Financial Telecommunication SCRL,"409968",LTHP0153,96196,461573,
"154",ABN AMRO Datacenter,"409968",LTHP0154,119957,480657,"GM0362_166,GM0362_73,GM0362_35,GM0362_175,GM0362_129,GM0362_84,GM0362_81,GM0362_88,GM0362_93,GM0362_25,GM0362_127,GM0362_12,GM0362_104,GM0362_107,GM0362_17,GM0362_152,GM0362_170,GM0362_54,GM0362_132,GM0362_149,GM0362_31"
"155",ABN AMRO Datacenter,"409968",LTHP0155,119786,478878,"GM0362_36,GM0362_18,GM0362_22,GM0362_164,GM0362_72,GM0362_10,GM0362_183,GM0362_159,GM0362_126,GM0362_124,GM0362_146,GM0362_128,GM0362_105,GM0362_184,GM0362_118,GM0362_38,GM0362_23,GM0362_3,GM0362_57,GM0362_33"
"156",Interoute Communications Ltd,"409968",LTHP0156,111930,477009,
"157",Interxion AMS 7,"409968",LTHP0157,112589,477228,"GM0358_9,GM0358_33,GM0358_24"
"158",Verizon Schiphol,"409968",LTHP0158,115080,481757,
"159",NLDC   Aalsmeer,"409968",LTHP0159,113091,474818,"GM0358_51,GM0358_5,GM0358_32,GM0358_27,GM0358_21,GM0358_57,GM0358_8"
"160",Datapark Nederland  Alblasserdam,"409968",LTHP0160,105217,430196,"GM0482_5,GM0482_6,GM0482_16,GM0482_19,GM0482_21,GM0482_11,GM0482_20,GM0482_24,GM0482_27"
"161",Dataplace Rotterdam,"409968",LTHP0161,106208,428826,"GM0482_19,GM0590_23,GM1978_6,GM0590_32"
"162",Tele2  POP   Alkmaar  Alkmaar,"409968",LTHP0162,112725,514921,
"163",Datacenter NoordHolland,"409968",LTHP0163,113242,515529,
"164",Tele2  POP   Amersfoort  Amersfoort,"409968",LTHP0164,157171,464869,"GM0307_2_147,GM0307_2_112,GM0307_2_162,GM0307_2_42,GM0307_2_136,GM0307_2_87"
"165",Pink Roccade  Amsterdam  Amsterdam,"409968",LTHP0165,125385,479232,
"166",Tele2  Amsterdam 1   Amsterdam  Amsterdam,"409968",LTHP0166,125519,479117,
"167",Vancis  Amsterdam,"409968",LTHP0167,125507,485536,
"168",Viatel  Amsterdam  Amsterdam,"409968",LTHP0168,117749,485543,
"169",Equinix AM4,"409968",LTHP0169,125922,485276,
"170",Globalone,"409968",LTHP0170,117220,488799,
"171",Nikhef Housing,"409968",LTHP0171,125286,485458,
"172",RDC Datacentrum,"409968",LTHP0172,120806,483033,
"173",XS4ALL DC2,"409968",LTHP0173,120901,483275,
"174",Datahouse Capelle  Capelle aan den IJssel,"409968",LTHP0174,99875,440903,"GM0502_59,GM0502_63,GM0502_122,GM0502_85,GM0502_76,GM0502_101,GM0502_111,GM0502_93,GM0502_57,GM0502_9,GM0502_110,GM0502_8,GM0502_2,GM0502_60,GM0502_79,GM0502_51,GM0502_115,GM0502_26,GM0502_128,GM0502_47,GM0502_4,GM0502_134,GM0502_124,GM0502_48,GM0502_21,GM0502_55,GM0502_92,GM0502_16"
"175",InterBox Internet  Capelle a d Ijssel,"409968",LTHP0175,99816,441914,"GM0599_5_113,GM0599_5_146,GM0599_5_22,GM0599_5_152,GM0502_76,GM0502_60,GM0502_79,GM1892_70,GM0502_55,GM0502_92"
"176",KPN Capelle  Capelle aan den IJssel,"409968",LTHP0176,99520,441746,"GM0599_5_113,GM0599_5_146,GM0599_5_26,GM0502_76,GM0502_57,GM0502_60,GM0502_79,GM1892_70,GM0599_5_19,GM0599_5_13,GM0502_55,GM0502_92"
"177",Databarn Rivium B V,"409968",LTHP0177,97167,436083,"GM0502_78,GM0502_23,GM0542_49,GM0599_5_56,GM0599_5_79,GM0599_3_35,GM0599_3_63,GM0502_28,GM0599_5_116,GM0599_5_72"
"178",ReliNed Cabine Culemborg  Culemborg,"409968",LTHP0178,144189,439503,
"179",Dataplace Utrecht,"409968",LTHP0179,138344,459472,"GM0310_51,GM0310_54,GM0310_23,GM0310_78,GM0344_1_82,GM0344_1_63"
