neighbourhood_code,space_heating_demand_per_house,hot_water_demand_per_house,space_heating_demand_per_m2_utility,hot_water_demand_per_m2_utility,electricity_demand_per_house,electricity_demand_per_m2_utility,share_of_houses_demolished,number_of_new_apartments,number_of_new_terraced_houses,number_of_new_detached_houses,number_of_new_semi_detached_houses,number_of_new_houses_unknown_type,epi_of_new_houses,size_of_new_houses,existing_heat_network_share,trace_length
BU03070803,31,6,0.238461538,0.046153846,113,0.869230769,0,0,0,0,0,0,0.9,100,0,6121.079747
BU03070900,28,8,0.215384615,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,7150.405553
BU03070902,27,7,0.207692308,0.053846154,112,0.861538462,0,0,0,0,0,0,0.9,100,0,5487.457005
BU03070903,26,8,0.2,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,7843.313919
BU03070905,24,7,0.184615385,0.053846154,217,1.669230769,0,0,0,0,0,0,0.9,100,0,4773.767716
BU03071000,35,6,0.269230769,0.046153846,113,0.869230769,0,0,0,0,0,0,0.9,100,0,3338.801647
BU03071001,30,5,0.230769231,0.038461538,113,0.869230769,0,0,0,0,0,0,0.9,100,0,4478.834454
BU03071002,27,6,0.207692308,0.046153846,113,0.869230769,0,0,0,0,0,0,0.9,100,0,4785.473991
BU03071003,31,5,0.238461538,0.038461538,114,0.876923077,0,0,0,0,0,0,0.9,100,0,5802.533646
BU03071004,23,5,0.176923077,0.038461538,321,2.469230769,0,0,0,0,0,0,0.9,100,0,3619.974375
BU03071100,30,7,0.230769231,0.053846154,12,0.092307692,0,0,0,0,0,0,0.9,100,0,7559.731126
BU03071101,29,8,0.223076923,0.061538462,11,0.084615385,0,0,0,0,0,0,0.9,100,0,7289.348329
BU03071201,42,7,0.323076923,0.053846154,113,0.869230769,0,0,0,0,0,0,0.9,100,0,4206.631382
BU03071202,54,7,0.415384615,0.053846154,120,0.923076923,0,0,0,0,0,0,0.9,100,0,4470.038994
BU03071300,32,7,0.246153846,0.053846154,111,0.853846154,0,0,0,0,0,0,0.9,100,0,5441.266891
BU03071301,25,5,0.192307692,0.038461538,114,0.876923077,0,0,0,0,0,0,0.9,100,0,5688.150779
BU03071302,33,6,0.253846154,0.046153846,111,0.853846154,0,0,0,0,0,0,0.9,100,0,3659.713284
