neighbourhood_code,neighbourhood_name
BU03440613,Hoog-Catharijne NS en Jaarbeurs
BU03440621,Wijk C
BU03440622,Breedstraat en Plompetorengracht en omgeving
BU03440623,Nobelstraat en omgeving
BU03440624,Springweg en omgeving Geertebuurt
BU03440625,Lange Nieuwstraat en omgeving
BU03440626,Nieuwegracht-Oost
BU03440627,Bleekstraat en omgeving
BU03440628,Hooch Boulandt
BU03440711,Lunetten-Noord
BU03440712,Lunetten-Zuid
BU03440721,Tolsteeg en Rotsoord
BU03440722,Oud Hoograven-Noord
BU03440723,Oud Hoograven-Zuid
BU03440731,Bokkenbuurt
BU03440732,Nieuw Hoograven-Noord
BU03440733,Nieuw Hoograven-Zuid
BU03440811,Dichterswijk
BU03440812,Rivierenwijk
BU03440821,Bedrijvengebied Kanaleneiland
BU03440822,Transwijk-Zuid
BU03440823,Transwijk-Noord
BU03440831,Kanaleneiland-Zuid
BU03440832,Kanaleneiland-Noord
BU03440911,Bedrijventerrein De Wetering
BU03440912,Terwijde-West
BU03440913,Terwijde-Oost
BU03440921,Het Zand-West
BU03440922,Het Zand-Oost
BU03440931,Leidsche Rijn-Centrum
BU03440932,Grauwaart
BU03440933,Hoge Weide
BU03440934,Leeuwesteyn
BU03440941,Parkwijk-Noord
BU03440942,Parkwijk-Zuid
BU03440943,Langerak
BU03440951,Rijnvliet
BU03440952,Bedrijvengebied Strijkviertel
BU03440953,Bedrijvengebied Papendorp
BU03441011,Haarrijn
BU03441012,Haarzuilens en omgeving
BU03441013,Vleuten
BU03441014,MÃƒÂ¡ximapark
BU03441021,Vleuterweide-West
BU03441022,Vleuterweide-Noord/Oost/Centrum
BU03441023,Vleuterweide-Zuid
BU03441024,Veldhuizen
BU03441031,De Meern-Noord
BU03441032,De Meern-Zuid
BU03441033,Bedrijvengebied Oudenrijn
BU03441041,Rijnenburg
BU03450000,Koopcentrum
BU03450001,Vijgendam en omgeving
BU03450002,Schrijverswijk
BU03450003,Beatrixstraat en omgeving
BU03450100,Dragonder-Noord
BU03450101,Dragonder-Zuid
BU03450102,De Compagnie-Oost
BU03450103,Spitsbergen
BU03450104,Dragonder-Oost
BU03450105,Veenendaal-Oost
BU03450200,Engelenburg
BU03450201,Het Ambacht
BU03450202,Boslaan en omgeving
BU03450203,Petenbos
BU03450204,Petenbos-Oost
BU03450205,Nijverkamp
BU03450206,De Groene Velden
BU03450207,De Blauwe Hel
BU03450208,Bezuiden de Middelbuurtseweg
BU03450300,'t Goeie Spoor en omgeving
BU03450301,Franse Gat
BU03450302,Salamander
BU03450400,Molenbrug
BU03450401,'t Hoorntje
BU03450402,De Pol
BU03450403,De Gelderse blom
BU03450404,De Compagnie
BU03450405,De Batterijen
BU03450500,Oudeveen en De Schans en omgeving
BU03450501,Componistenbuurt
BU03450502,Vogelbuurt
BU03450503,Schepenbuurt
BU03450504,Dichtersbuurt
BU03450505,De Faktorij en De Vendel
BU03450506,Fort Buurtsteeg
BU03450507,Bezuiden de Dijkstraat
BU03510001,De Grift
BU03510002,Nico Bergsteijn
BU03510003,Nieuwoord
BU03510004,Laanzicht
BU03510005,Het Zeeland
BU03510006,Het Groene Woud
BU03510007,Woudenberg-Oost
BU03510008,Bedrijventerrein
BU03510009,Den Treek-Henschoten
BU03510010,Geerestein
BU03510011,Voskuilen
BU03510012,Rumelaar-Lambalgen
BU03520000,Wijk bij Duurstede
BU03520101,Gebied ten zuiden van Amsterdam-Rijnkanaal
BU03520109,Verspreide huizen
BU03520200,Cothen
BU03520209,Verspreide huizen Cothen
BU03520300,Nederlangbroek
BU03520301,Nederlangbroek West- en Oostzijde
BU03520302,Overlangbroek
BU03520309,Verspreide huizen Langbroek
BU03530001,IJsselstein-Binnenstad
BU03530002,Nieuwpoort
BU03530003,Groenvliet
BU03530004,Kasteelkwartier
BU03530005,Europakwartier
BU03530006,Oranjekwartier
BU03530007,IJsselveld-Oost
BU03530008,IJsselveld-West
BU03530009,IJsseloevers
BU03530010,Hazenveld en Overwaard
BU03530011,Rijpickerwaard
BU03530012,Panoven
BU03530013,Paardenveld
BU03530014,Over Oudland
BU03530015,Industrieterrein Lage Dijk
BU03530016,Bedrijventerrein De Corridor
BU03530017,De Hoven en De Boomgaard
BU03530018,De Tuinen
BU03530019,Het Hart
BU03530020,De Wereldsteden
BU03530021,De Rivieren
BU03530022,Het Staatse
BU03530023,Benschopperpoort en Het Podium
BU03530024,Achterveld-Zuid
BU03530025,Achterveld-West
BU03530026,Achterveld-Noord
BU03530027,Achterveld-Oost
BU03530028,Eiterse Waard
BU03530029,Landelijk gebied Noord
BU03530030,Landelijk gebied Zuid
BU03550101,CarrÃƒÂ©
BU03550102,Centrumschil-Zuid
BU03550103,Centrumschil-Noord
BU03550104,Lyceumkwartier
BU03550105,Het Slot en omgeving
BU03550201,Patijnpark
BU03550202,Dijnselburg
BU03550203,Staatsliedenkwartier
BU03550204,Mooi Zeist
BU03550205,Vollenhove
BU03550206,Utrechtseweg
BU03550301,Griffensteijn en Kersbergen
BU03550302,Nijenheim
BU03550303,Crosesteijn
BU03550304,Vogelwijk
BU03550305,Brugakker
BU03550306,De Clomp
BU03550307,Couwenhoven
BU03550308,Blikkenburg e.o.
BU03550309,Weidegebied
BU03550401,Hoge Dennen
BU03550402,Kerckebosch
BU03550403,Driebergseweg
BU03550404,Station NS
BU03550405,Zeister Bos
BU03550406,Austerlitz
BU03550407,Verspreide huizen Austerlitz
BU03550501,Huis ter Heide-Zuid
BU03550502,Huis ter Heide-Noord
BU03550503,Bosch en Duin
BU03550504,Beukbergen
BU03550505,Den Dolder-Zuid
BU03550506,Den Dolder-Noord
BU03550507,Soestdijkerweg en omgeving
BU03550508,Sterrenberg
BU03560100,Jutphaas Wijkersloot
BU03560200,Zuilenstein
BU03560300,Batau Zuid
BU03560400,Batau Noord
BU03560500,Doorslag
BU03560600,Huis de Geer
BU03560700,Blokhoeve
BU03560800,Galecop
BU03561000,Fokkesteeg
BU03561100,Hoogzandveld
BU03561200,Lekboulevard
BU03561300,Vreeswijk
BU03561400,Merwestein
BU03561500,Park Oudegein
BU03561600,Zandveld
BU03561800,Het Klooster
BU03562000,Laagraven
BU03562100,Plettenburg
BU03562200,De Wiers
BU03562300,Hoge Landen
BU03562400,Stadscentrum
BU03580000,Centrum
BU03580001,Stommeer
BU03580004,Hornmeer
BU03580005,Uiterweg
BU03580100,Kudelstaart
BU03580200,Bovenlanden
BU03580201,Greenpark
BU03580205,Oosteinde
BU03580206,Schinkelpolder
BU03610904,Zuidschermer
BU03611006,Markenbinnen
BU03620101,Randwijck West
BU03620102,Randwijck Oost
BU03620201,Oranjebuurt
BU03620202,Patrimonium
BU03620301,Elsrijk West
BU03620302,Kruiskerkbuurt
BU03620303,Vredeveldbuurt
BU03620304,Elsrijk Oost
BU03620401,Stadshart
BU03620501,Uilenstede
BU03620502,Kronenburg
BU03620601,Heldenbuurt
BU03620602,Zeestratenbuurt
BU03620603,Boekenbuurt
BU03620604,Operabuurt
BU03620701,Middelpolder
BU03620702,Buurt over Ouderkerk
BU03620801,Oude Dorp
BU03620802,Kastanjebuurt
BU03620803,Van der Leekbuurt
BU03620804,Populierenbuurt
BU03620805,Augustinuspark
BU03620806,Startbaanbuurt
BU03620901,Langerhuize
BU03620902,Alpen Rondwegbuurt
BU03620903,In de Wolkenbuurt
BU03620904,Watercirkelbuurt
BU03620905,Kringloopbuurt
BU03621001,Beroepenbuurt
BU03621002,Hemellichamenbuurt
BU03621003,Punterbuurt
BU03621004,Molenbuurt
BU03621005,Galjoenbuurt
BU03621101,Bovenkerk
BU03621102,Buitenplaatsenbuurt
BU03621103,Betsy Perkbuurt
BU03621104,Legmeer
BU03621105,Landschappenbuurt
BU03621106,Theaterbuurt
BU03621201,Kastelenbuurt
BU03621202,Schrijversbuurt
BU03621203,Kruidenbuurt
BU03621204,De Scheg
BU03621301,Nes aan de Amstel
BU03621302,Legmeerpolder
BU03621401,Amsterdamse Bos Noord
BU03621402,Amsterdamse Bos Zuid
BU03750000,Wijkertoren
BU03750001,Meerplein
BU03750002,Koningstraat
BU03750003,Burgerhartstraat
BU03750004,Sint Aagtendorp
BU03750005,Reguliersstraat
BU03750100,Vondellaan
BU03750101,Ronde Boogaard
BU03750102,Westerhout
BU03750200,Oranjebuurt
BU03750201,Oud Sportpark
BU03750202,Beijnes
BU03750300,Plantage
BU03750301,Oostertuinen
BU03750302,Kuenenplein
BU03750303,De Naald
BU03750400,Warande
BU03750401,De Horn
BU03750500,Westertuinen
BU03750501,Creutzberglaan
