buurtcode,woningtype,QI_bouwjaarklasse,aantal_woningen,gem_epi,gem_oppervlakte,aantal_kleine_woningen,buurtnaam
BU007,Terraced house,1946-1974,2,2.005,117,0,Buurt G
BU007,Terraced house,1975-1990,5,1.326,105.2,0,Buurt G
BU007,Terraced house,>2010,126,0.749444444,130.3888889,6,Buurt G
BU008,Apartment,2001-2010,72,1.086111111,102.0694444,2,Buurt H
BU008,Apartment,<1946,1005,1.978427861,83.09950249,511,Buurt H
BU008,Apartment,1946-1974,713,2.075259467,76.06732118,246,Buurt H
BU008,Apartment,1991-2000,76,1.311447368,73.92105263,30,Buurt H
BU008,Apartment,1975-1990,294,1.683027211,72.24489796,151,Buurt H
BU008,Apartment,>2010,300,0.9332,41.21333333,300,Buurt H
BU008,Detached house,<1946,2,2.515,165,0,Buurt H
BU008,Semi-detached house,<1946,2,2.37,227.5,0,Buurt H
BU008,Terraced house,2001-2010,4,0.925,170,0,Buurt H
BU008,Terraced house,<1946,289,2.071522491,135.9723183,11,Buurt H
BU009,Apartment,<1946,534,1.965037453,82.76966292,205,Buurt I
BU009,Apartment,1946-1974,180,2.041888889,85.97222222,70,Buurt I
BU009,Apartment,1991-2000,137,1.792043796,86.94160584,85,Buurt I
BU009,Apartment,1975-1990,50,1.362,72.86,42,Buurt I
BU009,Apartment,>2010,514,0.766459144,56.3463035,379,Buurt I
BU009,Detached house,1946-1974,1,2.23,153,0,Buurt I
BU009,Semi-detached house,<1946,1,2.8,411,0,Buurt I
BU009,Semi-detached house,1946-1974,1,2.49,79,0,Buurt I
BU009,Terraced house,2001-2010,51,0.940392157,199.3137255,0,Buurt I
BU009,Terraced house,<1946,29,1.68137931,79.55172414,9,Buurt I
BU009,Terraced house,1946-1974,2,2.06,275,0,Buurt I
BU009,Terraced house,>2010,165,0.792909091,133.8909091,0,Buurt I
BU010,Apartment,<1946,682,1.907947214,84.54105572,160,Buurt J
BU010,Apartment,1946-1974,2,2.2,82.5,1,Buurt J
BU010,Apartment,1991-2000,15,1.25,67.2,12,Buurt J
BU010,Apartment,1975-1990,335,1.38961194,97.45373134,87,Buurt J
BU010,Apartment,>2010,59,0.931864407,45.11864407,59,Buurt J
BU010,Semi-detached house,<1946,58,1.934482759,96.06896552,15,Buurt J
BU010,Terraced house,<1946,666,1.623663664,77.7012012,342,Buurt J
BU011,Apartment,1946-1974,565,1.986513274,79.6,170,Buurt K
BU011,Semi-detached house,2001-2010,4,1.33,128,0,Buurt K
BU011,Terraced house,2001-2010,52,1.2975,131.4038462,0,Buurt K
BU011,Terraced house,<1946,60,2.080333333,95.56666667,2,Buurt K
BU011,Terraced house,1946-1974,10,2.144,51,10,Buurt K
BU011,Terraced house,1991-2000,14,1.330714286,137.4285714,0,Buurt K
BU012,Apartment,2001-2010,176,1.227045455,101.5454545,66,Buurt L
BU012,Apartment,<1946,8,1.67125,73,3,Buurt L
BU012,Apartment,1946-1974,60,2.165833333,78.96666667,16,Buurt L
BU012,Apartment,1975-1990,205,1.403463415,77.84878049,117,Buurt L
BU012,Detached house,<1946,3,2,129.6666667,0,Buurt L
BU012,Detached house,1975-1990,1,1.82,87,0,Buurt L
BU012,Semi-detached house,<1946,2,2.52,151.5,0,Buurt L
BU012,Terraced house,<1946,10,1.954,133.4,1,Buurt L
BU012,Terraced house,1975-1990,39,1.657948718,127.8205128,0,Buurt L
BU013,Apartment,2001-2010,215,0.911906977,122.5860465,0,Buurt M
BU013,Apartment,<1946,38,1.802368421,73.02631579,18,Buurt M
BU013,Detached house,2001-2010,38,0.964473684,172.4473684,0,Buurt M
BU013,Detached house,<1946,1,2.23,433,0,Buurt M
BU013,Semi-detached house,2001-2010,54,1.001481481,184.9074074,0,Buurt M
BU013,Terraced house,2001-2010,22,1.264545455,129.9545455,0,Buurt M
BU013,Terraced house,<1946,2,2.18,76.5,1,Buurt M
BU013,Terraced house,>2010,1,0.9,200,0,Buurt M
BU014,Apartment,2001-2010,90,0.962333333,139.2555556,0,Buurt N
BU014,Apartment,>2010,505,0.983108911,83.0950495,207,Buurt N
BU014,Terraced house,>2010,21,1,172.6666667,0,Buurt N
