BU_CODE,GM_CODE,InStudieGebied?,Aantal_woningen [Aansluiting],Aantal_utiliteit [Aansluiting],nrWEQ_woningen [WEQ],nrWEQ_utiliteit [WEQ),,nrWEQ_totaal [WEQ],Vraag_perWEQ_Totaal [ giga J per WEQ*yr],Vraag_perWEQ_RV [ giga J per WEQ*yr],Vraag_perWEQ_TW [ giga J per WEQ*yr],Vraag_perWEQ_Vent [ giga J per WEQ*yr],Vraag_perWEQ_K [ giga J per WEQ*yr],Vraag_perWEQ_App [ giga J per WEQ*yr],,Vraag_Totaal [ giga J per yr],Vraag_RV [ giga J per yr],Vraag_TW [ giga J per yr],Vraag_Vent [ giga J per yr],Vraag_K [ giga J per yr],Vraag_App [ giga J per yr],,Studiegebied variabelen,nrWEQ_woningen [WEQ],nrWEQ_utiliteit [WEQ),nrWEQ_totaal [WEQ],Vraag_Totaal [ giga J per yr],Vraag_RV [ giga J per yr],Vraag_TW [ giga J per yr],Vraag_Vent [ giga J per yr],Vraag_K [ giga J per yr],Vraag_App [ giga J per yr],,,,,
BU00100205,GM0010,0,65,2,65,5,,70,89,70,8,0,0,10,,6255,4919,562,0,0,703,,,,,,,,,,,,,,,,
BU00100221,GM0010,0,0,5,0,7,,7,135,97,4,0,17,17,,920,661,27,0,116,116,,,,,,,,,,,,,,,,
BU00100306,GM0010,0,300,56,300,52,,352,66,42,7,0,1,16,,23203,14766,2461,0,352,5625,,,,,,,,,,,,,,,,
BU00100307,GM0010,0,548,116,548,143,,691,69,45,7,0,1,16,,47655,31079,4835,0,691,11050,,,,,,,,,,,,,,,,
BU00100308,GM0010,0,256,46,256,58,,314,64,42,7,0,1,13,,20090,13184,2197,0,314,4081,,,,,,,,,,,,,,,,
BU00100309,GM0010,0,34,38,34,183,,217,70,43,2,0,3,23,,15212,9344,435,0,652,4998,,,,,,,,,,,,,,,,
BU00100410,GM0010,0,9,13,9,59,,68,82,34,2,0,5,42,,5597,2321,137,0,341,2867,,,,,,,,,,,,,,,,
BU00100411,GM0010,0,548,4,548,0,,548,49,31,8,0,0,10,,26872,17000,4387,0,0,5484,,,,,,,,,,,,,,,,
BU00100412,GM0010,0,324,5,324,1,,325,47,29,8,0,0,10,,15263,9418,2598,0,0,3247,,,,,,,,,,,,,,,,
BU00100413,GM0010,0,134,1,134,0,,134,55,37,8,0,0,10,,7376,4962,1073,0,0,1341,,,,,,,,,,,,,,,,
BU00100414,GM0010,0,109,5,109,18,,127,67,46,8,0,0,12,,8493,5831,1014,0,0,1521,,,,,,,,,,,,,,,,
BU00100415,GM0010,0,80,2,80,2,,82,65,46,10,0,0,10,,5302,3752,816,0,0,816,,,,,,,,,,,,,,,,
BU00100416,GM0010,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BU00100417,GM0010,0,1,9,1,89,,90,75,31,1,0,6,37,,6783,2804,90,0,543,3346,,,,,,,,,,,,,,,,
BU00100518,GM0010,0,341,9,341,41,,382,61,40,7,0,1,13,,23299,15278,2674,0,382,4965,,,,,,,,,,,,,,,,
BU00100519,GM0010,0,161,2,161,0,,161,66,47,8,0,0,10,,10638,7575,1289,0,0,1612,,,,,,,,,,,,,,,,
BU00100520,GM0010,0,133,1,133,0,,133,70,51,9,0,0,10,,9322,6792,1199,0,0,1332,,,,,,,,,,,,,,,,
BU00100622,GM0010,0,149,3,149,25,,174,55,35,7,0,2,10,,9554,6080,1216,0,347,1737,,,,,,,,,,,,,,,,
BU00100623,GM0010,0,78,7,78,10,,88,61,40,8,0,1,11,,5390,3534,707,0,88,972,,,,,,,,,,,,,,,,
BU00100624,GM0010,0,133,79,133,9,,142,58,39,6,0,1,12,,8234,5537,852,0,142,1704,,,,,,,,,,,,,,,,
BU00100625,GM0010,0,830,28,830,23,,853,58,39,7,0,0,11,,49477,33269,5971,0,0,9384,,,,,,,,,,,,,,,,
BU00100626,GM0010,0,1267,96,1267,54,,1321,52,33,7,0,0,11,,68676,43583,9245,0,0,14528,,,,,,,,,,,,,,,,
BU00100646,GM0010,0,307,97,307,28,,335,56,37,7,0,1,11,,18787,12413,2348,0,335,3690,,,,,,,,,,,,,,,,
BU00100647,GM0010,0,192,31,192,118,,310,52,25,5,0,2,20,,16118,7749,1550,0,620,6199,,,,,,,,,,,,,,,,
BU00100727,GM0010,0,28,3,28,3,,31,88,67,9,0,1,10,,2685,2044,275,0,31,305,,,,,,,,,,,,,,,,
BU00100728,GM0010,0,22,0,22,0,,22,84,65,9,0,0,10,,1848,1430,198,0,0,220,,,,,,,,,,,,,,,,
BU00100730,GM0010,0,16,1,16,0,,16,84,64,9,0,0,11,,1370,1044,147,0,0,179,,,,,,,,,,,,,,,,
BU00100733,GM0010,0,419,18,419,20,,439,73,53,9,0,0,11,,32045,23266,3951,0,0,4829,,,,,,,,,,,,,,,,
BU00100734,GM0010,0,42,3,42,1,,43,83,63,9,0,0,10,,3568,2709,387,0,0,430,,,,,,,,,,,,,,,,
BU00100735,GM0010,0,122,7,122,9,,131,81,60,8,0,1,12,,10629,7873,1050,0,131,1575,,,,,,,,,,,,,,,,
BU00100736,GM0010,0,75,3,75,2,,77,82,63,9,0,0,10,,6327,4861,694,0,0,772,,,,,,,,,,,,,,,,
BU00100737,GM0010,0,308,15,308,41,,349,71,51,7,0,1,12,,24763,17788,2441,0,349,4185,,,,,,,,,,,,,,,,
BU00100738,GM0010,0,528,38,528,62,,590,74,53,8,0,1,12,,43675,31281,4722,0,590,7082,,,,,,,,,,,,,,,,
BU00100739,GM0010,0,172,22,172,20,,192,89,65,8,0,1,15,,17108,12495,1538,0,192,2883,,,,,,,,,,,,,,,,
BU00100829,GM0010,0,0,2,0,9,,9,71,58,0,0,1,11,,647,529,0,0,9,100,,,,,,,,,,,,,,,,
BU00100831,GM0010,0,1,78,1,291,,292,77,35,1,0,5,35,,22507,10230,292,0,1461,10230,,,,,,,,,,,,,,,,
BU00100932,GM0010,0,174,13,174,16,,190,80,60,9,0,1,11,,15188,11391,1709,0,190,2088,,,,,,,,,,,,,,,,
BU00100940,GM0010,0,60,2,60,2,,62,79,59,9,0,0,11,,4891,3653,557,0,0,681,,,,,,,,,,,,,,,,
BU00100941,GM0010,0,149,29,149,40,,189,74,50,8,0,3,14,,13990,9453,1512,0,567,2647,,,,,,,,,,,,,,,,
BU00100942,GM0010,0,150,11,150,14,,164,76,56,8,0,1,10,,12437,9164,1309,0,164,1636,,,,,,,,,,,,,,,,
BU00100943,GM0010,0,412,15,412,51,,463,73,51,8,0,1,13,,33784,23602,3702,0,463,6016,,,,,,,,,,,,,,,,
BU00100944,GM0010,0,0,0,828,65,,893,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BU00100945,GM0010,0,163,62,163,27,,190,83,60,8,0,2,13,,15811,11430,1524,0,381,2476,,,,,,,,,,,,,,,,
BU00100948,GM0010,0,9,0,9,0,,9,85,67,9,0,0,10,,765,603,81,0,0,90,,,,,,,,,,,,,,,,
BU00140000,GM0014,0,2204,589,2204,2285,,4489,87,54,4,0,3,26,,390500,242379,17954,0,13466,116701,,,,,,,,,,,,,,,,
BU00140001,GM0014,0,3498,845,3498,2416,,5914,82,49,5,0,3,25,,484940,289781,29570,0,17742,147848,,,,,,,,,,,,,,,,
BU00140002,GM0014,0,2600,193,2600,707,,3307,55,31,6,0,2,16,,181873,102510,19841,0,6614,52909,,,,,,,,,,,,,,,,
BU00140003,GM0014,0,986,120,986,316,,1302,62,34,5,0,1,22,,80755,44285,6512,0,1302,28655,,,,,,,,,,,,,,,,
BU00140004,GM0014,0,0,2,0,1,,1,129,95,4,0,13,16,,140,103,4,0,14,17,,,,,,,,,,,,,,,,
BU00140005,GM0014,0,2905,343,2905,990,,3895,61,36,6,0,2,17,,237625,140237,23373,0,7791,66223,,,,,,,,,,,,,,,,
BU00140007,GM0014,0,1,22,1,3535,,3536,88,50,4,0,3,31,,311173,176803,14144,0,10608,109618,,,,,,,,,,,,,,,,
BU00140008,GM0014,0,73,51,73,682,,755,100,41,1,0,7,52,,75455,30936,755,0,5282,39236,,,,,,,,,,,,,,,,
BU00140100,GM0014,0,552,43,552,245,,797,59,28,5,0,2,24,,47046,22327,3987,0,1595,19137,,,,,,,,,,,,,,,,
BU00140101,GM0014,0,2882,150,2882,420,,3302,56,36,7,0,1,13,,184926,118881,23116,0,3302,42929,,,,,,,,,,,,,,,,
BU00140102,GM0014,0,800,34,800,148,,948,58,35,6,0,1,15,,54981,33178,5688,0,948,14219,,,,,,,,,,,,,,,,
BU00140103,GM0014,0,2616,183,2616,313,,2929,49,29,6,0,1,13,,143544,84955,17577,0,2929,38083,,,,,,,,,,,,,,,,
BU00140104,GM0014,0,1145,121,1145,209,,1354,49,29,6,0,1,14,,66351,39269,8125,0,1354,18957,,,,,,,,,,,,,,,,
BU00140105,GM0014,0,555,21,555,22,,577,46,28,7,0,0,11,,26521,16144,4036,0,0,6342,,,,,,,,,,,,,,,,
BU00140106,GM0014,0,1480,177,1480,403,,1883,53,32,6,0,1,15,,99816,60266,11300,0,1883,28250,,,,,,,,,,,,,,,,
BU00140107,GM0014,0,686,118,686,119,,805,50,32,6,0,0,12,,40258,25765,4831,0,0,9662,,,,,,,,,,,,,,,,
BU00140108,GM0014,0,1,21,1,142,,143,94,64,2,0,5,23,,13407,9128,285,0,713,3280,,,,,,,,,,,,,,,,
BU00140109,GM0014,0,1,26,1,780,,781,128,77,3,0,11,37,,99988,60149,2343,0,8593,28903,,,,,,,,,,,,,,,,
BU00140200,GM0014,0,1379,156,1379,83,,1462,51,33,7,0,0,11,,74561,48245,10234,0,0,16082,,,,,,,,,,,,,,,,
BU00140201,GM0014,0,2124,125,2124,115,,2239,52,34,7,0,0,11,,116450,76141,15676,0,0,24634,,,,,,,,,,,,,,,,
BU00140202,GM0014,0,2524,145,2524,328,,2852,59,39,7,0,1,13,,168270,111229,19964,0,2852,37076,,,,,,,,,,,,,,,,
BU00140203,GM0014,0,1337,157,1337,161,,1498,49,29,6,0,1,13,,73391,43435,8987,0,1498,19471,,,,,,,,,,,,,,,,
BU00140300,GM0014,0,2361,65,2361,54,,2415,41,24,7,0,0,10,,99024,57965,16907,0,0,24152,,,,,,,,,,,,,,,,
BU00140301,GM0014,0,4805,142,4805,280,,5085,44,27,7,0,0,10,,223742,137296,35595,0,0,50850,,,,,,,,,,,,,,,,
BU00140302,GM0014,0,3084,209,3084,468,,3552,51,31,6,0,1,13,,181135,110102,21310,0,3552,46172,,,,,,,,,,,,,,,,
BU00140400,GM0014,0,2768,104,2768,182,,2950,47,30,7,0,0,11,,138637,88492,20648,0,0,32447,,,,,,,,,,,,,,,,
BU00140401,GM0014,0,1570,35,1570,114,,1684,41,23,7,0,0,11,,69028,38723,11785,0,0,18520,,,,,,,,,,,,,,,,
BU00140402,GM0014,0,1752,15,1752,36,,1788,46,29,7,0,0,10,,82264,51862,12518,0,0,17883,,,,,,,,,,,,,,,,
BU00140403,GM0014,0,767,48,767,39,,806,46,29,6,0,0,10,,37098,23388,4839,0,0,8065,,,,,,,,,,,,,,,,
BU00140404,GM0014,0,504,69,504,197,,701,57,26,6,0,2,24,,39972,18233,4208,0,1403,16830,,,,,,,,,,,,,,,,
BU00140500,GM0014,0,339,8,339,71,,410,49,23,7,0,1,17,,20095,9432,2871,0,410,6972,,,,,,,,,,,,,,,,
BU00140501,GM0014,0,768,138,768,1439,,2207,70,25,3,0,5,36,,154477,55170,6620,0,11034,79445,,,,,,,,,,,,,,,,
BU00140502,GM0014,0,8,89,8,1364,,1372,98,37,1,0,5,55,,134487,50776,1372,0,6862,75477,,,,,,,,,,,,,,,,
BU00140503,GM0014,0,399,16,399,25,,424,36,19,6,0,1,11,,15261,8054,2543,0,424,4663,,,,,,,,,,,,,,,,
BU00140504,GM0014,0,0,2,0,1,,1,89,51,4,0,15,19,,95,55,4,0,16,20,,,,,,,,,,,,,,,,
BU00140505,GM0014,0,3,44,3,357,,360,78,27,1,0,4,45,,28049,9709,360,0,1438,16182,,,,,,,,,,,,,,,,
BU00140506,GM0014,0,11,209,11,670,,681,91,29,1,0,5,56,,61949,19742,681,0,3404,38122,,,,,,,,,,,,,,,,
BU00140507,GM0014,0,5,39,5,310,,315,86,28,1,0,5,52,,27047,8806,315,0,1573,16354,,,,,,,,,,,,,,,,
BU00140508,GM0014,0,8,21,8,59,,67,80,38,2,0,6,35,,5354,2543,134,0,402,2342,,,,,,,,,,,,,,,,
BU00140509,GM0014,0,0,4,0,14,,14,80,12,0,0,8,59,,1129,169,0,0,113,832,,,,,,,,,,,,,,,,
BU00140510,GM0014,0,10,0,10,0,,10,86,68,9,0,0,10,,860,680,90,0,0,100,,,,,,,,,,,,,,,,
BU00140511,GM0014,0,1,2,1,0,,1,81,52,7,0,2,20,,103,66,9,0,3,26,,,,,,,,,,,,,,,,
BU00140600,GM0014,0,92,65,92,1235,,1327,109,57,1,0,5,45,,144640,75637,1327,0,6635,59714,,,,,,,,,,,,,,,,
BU00140601,GM0014,0,1701,627,1701,496,,2197,62,38,6,0,1,16,,136219,83489,13182,0,2197,35153,,,,,,,,,,,,,,,,
BU00140602,GM0014,0,291,34,291,15,,306,61,42,8,0,1,10,,18676,12859,2449,0,306,3062,,,,,,,,,,,,,,,,
BU00140603,GM0014,0,437,83,437,68,,505,89,65,7,0,1,15,,44909,32798,3532,0,505,7569,,,,,,,,,,,,,,,,
BU00140604,GM0014,0,3298,619,3298,580,,3878,58,37,6,0,1,14,,224903,143473,23266,0,3878,54287,,,,,,,,,,,,,,,,
BU00140605,GM0014,0,2815,355,2815,369,,3184,49,30,6,0,1,12,,156008,95515,19103,0,3184,38206,,,,,,,,,,,,,,,,
BU00140606,GM0014,0,1472,202,1472,201,,1673,55,35,7,0,1,13,,92007,58550,11710,0,1673,21747,,,,,,,,,,,,,,,,
BU00140700,GM0014,0,2754,402,2754,858,,3612,58,34,6,0,2,17,,209485,122801,21671,0,7224,61401,,,,,,,,,,,,,,,,
BU00140701,GM0014,0,2577,81,2577,406,,2983,49,28,6,0,1,14,,146159,83520,17897,0,2983,41760,,,,,,,,,,,,,,,,
BU00140702,GM0014,0,297,2,297,0,,297,68,50,9,0,0,10,,20215,14864,2675,0,0,2973,,,,,,,,,,,,,,,,
BU00140703,GM0014,0,0,47,0,1568,,1568,94,44,3,0,5,41,,147427,69008,4705,0,7842,64303,,,,,,,,,,,,,,,,
BU00140704,GM0014,0,428,5,428,5,,433,62,43,9,0,0,10,,26831,18608,3895,0,0,4328,,,,,,,,,,,,,,,,
BU00140705,GM0014,0,2,39,2,16,,18,79,17,2,0,7,54,,1436,309,36,0,127,982,,,,,,,,,,,,,,,,
BU00140800,GM0014,0,866,229,866,141,,1007,67,43,7,0,1,16,,67454,43291,7047,0,1007,16108,,,,,,,,,,,,,,,,
BU00140801,GM0014,0,2429,323,2429,282,,2711,56,35,7,0,1,13,,151804,94877,18975,0,2711,35240,,,,,,,,,,,,,,,,
BU00140802,GM0014,0,3,11,3,24,,27,36,23,1,0,1,11,,962,614,27,0,27,294,,,,,,,,,,,,,,,,
BU00140803,GM0014,0,59,3,59,4,,63,71,50,8,0,1,13,,4496,3167,507,0,63,823,,,,,,,,,,,,,,,,
BU00140804,GM0014,0,17,4,17,5,,22,73,54,7,0,0,11,,1578,1167,151,0,0,238,,,,,,,,,,,,,,,,
BU00140805,GM0014,0,28,3,28,61,,89,87,67,3,0,1,16,,7712,5939,266,0,89,1418,,,,,,,,,,,,,,,,
BU00140806,GM0014,0,703,4,703,51,,754,55,36,8,0,0,11,,41472,27145,6032,0,0,8294,,,,,,,,,,,,,,,,
BU00140807,GM0014,0,0,33,0,154,,154,89,52,4,0,14,19,,13667,7985,614,0,2150,2918,,,,,,,,,,,,,,,,
BU00140808,GM0014,0,10,158,10,893,,903,87,32,1,0,4,50,,78548,28891,903,0,3611,45142,,,,,,,,,,,,,,,,
BU00140809,GM0014,0,98,24,98,4,,102,70,49,9,0,0,11,,7106,4974,914,0,0,1117,,,,,,,,,,,,,,,,
BU00140810,GM0014,0,549,1,549,0,,549,53,35,8,0,0,10,,29101,19218,4393,0,0,5491,,,,,,,,,,,,,,,,
BU00140811,GM0014,0,3,42,3,521,,524,109,42,1,0,8,59,,57157,22024,524,0,4195,30938,,,,,,,,,,,,,,,,
BU00140812,GM0014,0,57,3,57,4,,61,51,32,7,0,1,11,,3099,1944,425,0,61,668,,,,,,,,,,,,,,,,
BU00140900,GM0014,0,2797,284,2797,84,,2881,47,30,7,0,0,10,,135423,86440,20169,0,0,28813,,,,,,,,,,,,,,,,
BU00140901,GM0014,0,2327,281,2327,759,,3086,51,29,5,0,1,16,,157364,89482,15428,0,3086,49369,,,,,,,,,,,,,,,,
BU00140902,GM0014,0,41,140,41,810,,851,107,39,1,0,5,62,,91012,33172,851,0,4253,52736,,,,,,,,,,,,,,,,
BU00140903,GM0014,0,487,36,487,138,,625,51,26,6,0,2,17,,31882,16253,3751,0,1250,10627,,,,,,,,,,,,,,,,
BU00140904,GM0014,0,1061,75,1061,341,,1402,60,32,6,0,2,20,,84142,44876,8414,0,2805,28047,,,,,,,,,,,,,,,,
BU00140905,GM0014,0,34,3,34,3,,37,83,62,9,0,1,10,,3080,2301,334,0,37,371,,,,,,,,,,,,,,,,
BU00140906,GM0014,0,1018,8,1018,8,,1026,49,31,8,0,0,10,,50253,31793,8205,0,0,10256,,,,,,,,,,,,,,,,
BU00140907,GM0014,0,6,2,6,5,,11,81,55,6,0,7,12,,857,582,64,0,74,127,,,,,,,,,,,,,,,,
BU00141000,GM0014,0,3115,446,3115,425,,3540,47,28,6,0,1,12,,166374,99116,21239,0,3540,42478,,,,,,,,,,,,,,,,
BU00141001,GM0014,0,2614,300,2614,186,,2800,40,22,7,0,0,11,,112004,61602,19601,0,0,30801,,,,,,,,,,,,,,,,
BU00141002,GM0014,0,3225,684,3225,380,,3605,50,30,6,0,1,14,,180258,108155,21631,0,3605,50472,,,,,,,,,,,,,,,,
BU00141003,GM0014,0,4,87,4,2898,,2902,58,34,1,0,1,22,,168342,98683,2902,0,2902,63854,,,,,,,,,,,,,,,,
BU00141004,GM0014,0,3,5,3,36,,39,137,101,5,0,14,17,,5291,3901,193,0,541,657,,,,,,,,,,,,,,,,
BU00141005,GM0014,0,883,98,883,26,,909,46,28,7,0,0,10,,41823,25458,6364,0,0,9092,,,,,,,,,,,,,,,,
BU00141100,GM0014,0,2976,82,2976,166,,3142,50,31,7,0,0,11,,157095,97399,21993,0,0,34561,,,,,,,,,,,,,,,,
BU00141101,GM0014,0,3091,54,3091,133,,3224,45,27,7,0,0,10,,145060,87036,22565,0,0,32235,,,,,,,,,,,,,,,,
BU00141102,GM0014,0,1005,12,1005,60,,1065,53,34,8,0,0,11,,56434,36203,8518,0,0,11713,,,,,,,,,,,,,,,,
BU00141103,GM0014,0,295,4,295,6,,301,53,35,8,0,0,10,,15942,10528,2406,0,0,3008,,,,,,,,,,,,,,,,
BU00141104,GM0014,0,125,143,125,24,,149,72,47,7,0,1,16,,10720,6998,1042,0,149,2382,,,,,,,,,,,,,,,,
BU00141105,GM0014,0,16,39,16,82,,98,86,37,2,0,5,42,,8450,3635,197,0,491,4127,,,,,,,,,,,,,,,,
BU00141106,GM0014,0,24,4,24,89,,113,96,31,2,0,3,60,,10876,3512,227,0,340,6798,,,,,,,,,,,,,,,,
BU00141107,GM0014,0,1,0,1,0,,1,94,76,9,0,0,10,,94,76,9,0,0,10,,,,,,,,,,,,,,,,
BU00141200,GM0014,0,1810,118,1810,232,,2042,49,28,7,0,1,13,,100034,57162,14291,0,2042,26540,,,,,,,,,,,,,,,,
BU00141201,GM0014,0,1580,28,1580,47,,1627,51,33,7,0,0,10,,82964,53683,11387,0,0,16267,,,,,,,,,,,,,,,,
BU00141202,GM0014,0,818,79,818,281,,1099,50,30,6,0,0,14,,54952,32971,6594,0,0,15386,,,,,,,,,,,,,,,,
BU00141203,GM0014,0,1092,151,1092,197,,1289,62,37,7,0,1,17,,79927,47698,9024,0,1289,21915,,,,,,,,,,,,,,,,
BU00141204,GM0014,0,841,105,841,331,,1172,63,35,6,0,1,21,,73818,41010,7030,0,1172,24606,,,,,,,,,,,,,,,,
BU00141205,GM0014,0,0,8,0,78,,78,109,42,0,0,8,59,,8494,3273,0,0,623,4598,,,,,,,,,,,,,,,,
BU00141206,GM0014,0,86,0,86,0,,86,60,41,9,0,0,10,,5160,3526,774,0,0,860,,,,,,,,,,,,,,,,
BU00141207,GM0014,0,0,15,0,916,,916,108,41,1,0,8,58,,98933,37558,916,0,7328,53131,,,,,,,,,,,,,,,,
BU00141208,GM0014,0,391,3,391,1,,392,48,30,8,0,0,10,,18822,11763,3137,0,0,3921,,,,,,,,,,,,,,,,
BU00141209,GM0014,0,43,7,43,16,,59,83,54,7,0,3,20,,4926,3205,415,0,178,1187,,,,,,,,,,,,,,,,
BU00141210,GM0014,0,217,5,217,11,,228,62,42,8,0,0,11,,14161,9593,1827,0,0,2512,,,,,,,,,,,,,,,,
BU00141211,GM0014,0,513,2,513,0,,513,47,29,8,0,0,10,,24117,14881,4105,0,0,5131,,,,,,,,,,,,,,,,
BU00141300,GM0014,0,41,4,41,11,,52,74,55,7,0,2,10,,3867,2874,366,0,105,523,,,,,,,,,,,,,,,,
BU00141301,GM0014,0,373,15,373,29,,402,67,47,8,0,0,12,,26950,18905,3218,0,0,4827,,,,,,,,,,,,,,,,
BU00141302,GM0014,0,30,1,30,1,,31,81,61,9,0,0,11,,2484,1870,276,0,0,337,,,,,,,,,,,,,,,,
BU00141400,GM0014,0,358,2,358,0,,358,45,27,8,0,0,10,,16119,9672,2866,0,0,3582,,,,,,,,,,,,,,,,
BU00141401,GM0014,0,83,6,83,5,,88,77,56,8,0,1,12,,6795,4942,706,0,88,1059,,,,,,,,,,,,,,,,
BU00141402,GM0014,0,27,7,27,10,,37,86,60,7,0,2,18,,3185,2222,259,0,74,667,,,,,,,,,,,,,,,,
BU00141403,GM0014,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BU00141404,GM0014,0,72,0,72,0,,72,45,27,9,0,0,9,,3240,1944,648,0,0,648,,,,,,,,,,,,,,,,
BU00141405,GM0014,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BU00141406,GM0014,0,0,2,0,14,,14,46,24,1,0,1,20,,667,348,14,0,14,290,,,,,,,,,,,,,,,,
BU00141500,GM0014,0,1873,200,1873,212,,2085,62,41,8,0,1,13,,129264,85481,16679,0,2085,27104,,,,,,,,,,,,,,,,
BU00141501,GM0014,0,35,2,35,0,,35,86,67,9,0,0,10,,3022,2354,316,0,0,351,,,,,,,,,,,,,,,,
BU00141502,GM0014,0,221,15,221,36,,257,80,56,8,0,1,15,,20535,14375,2054,0,257,3850,,,,,,,,,,,,,,,,
BU00141503,GM0014,0,223,14,223,15,,238,81,60,8,0,1,11,,19266,14271,1903,0,238,2616,,,,,,,,,,,,,,,,
BU00141504,GM0014,0,73,5,73,1,,74,82,63,9,0,0,10,,6044,4644,663,0,0,737,,,,,,,,,,,,,,,,
BU00141505,GM0014,0,7,0,7,0,,7,83,65,9,0,0,10,,581,455,63,0,0,70,,,,,,,,,,,,,,,,
BU00141506,GM0014,0,14,8,14,28,,42,62,30,4,0,3,26,,2575,1246,166,0,125,1080,,,,,,,,,,,,,,,,
BU00141600,GM0014,0,303,14,303,57,,360,75,51,7,0,1,16,,26990,18353,2519,0,360,5758,,,,,,,,,,,,,,,,
BU00141601,GM0014,0,28,6,28,3,,31,85,63,8,0,1,12,,2625,1946,247,0,31,371,,,,,,,,,,,,,,,,
BU00141602,GM0014,0,161,5,161,12,,173,76,55,8,0,1,12,,13120,9495,1381,0,173,2072,,,,,,,,,,,,,,,,
BU00141603,GM0014,0,48,6,48,9,,57,87,62,8,0,1,17,,4943,3523,455,0,57,966,,,,,,,,,,,,,,,,
BU00141604,GM0014,0,30,4,30,2,,32,85,65,8,0,1,10,,2744,2099,258,0,32,323,,,,,,,,,,,,,,,,
BU00141605,GM0014,0,31,1,31,0,,31,81,63,9,0,0,10,,2515,1956,279,0,0,310,,,,,,,,,,,,,,,,
BU00141700,GM0014,0,4752,728,4752,752,,5504,67,44,7,0,1,15,,368750,242164,38526,0,5504,82556,,,,,,,,,,,,,,,,
BU00141701,GM0014,0,2219,80,2219,115,,2334,57,38,8,0,0,11,,133011,88674,18668,0,0,25669,,,,,,,,,,,,,,,,
BU00141702,GM0014,0,65,9,65,53,,118,102,63,5,0,4,30,,12041,7437,590,0,472,3542,,,,,,,,,,,,,,,,
BU00141703,GM0014,0,143,2,143,86,,229,101,64,6,0,3,28,,23117,14649,1373,0,687,6409,,,,,,,,,,,,,,,,
BU00141704,GM0014,0,461,37,461,83,,544,79,54,8,0,1,17,,42946,29355,4349,0,544,9241,,,,,,,,,,,,,,,,
BU00141705,GM0014,0,732,32,732,716,,1448,76,49,6,0,2,20,,110037,70945,8687,0,2896,28957,,,,,,,,,,,,,,,,
BU00141800,GM0014,0,170,3,170,8,,178,77,58,9,0,0,10,,13705,10323,1602,0,0,1780,,,,,,,,,,,,,,,,
