BU_CODE,GM_code,nrWEQ [WEQ],nrWEQwoning [WEQ],nrWEQutil [WEQ],,H01_Vraag_totaal [ giga J per WEQ*yr],H02_Vraag_RV [ giga J per WEQ*yr],H03_Vraag_TW [ giga J per WEQ*yr],H04_Vraag_Vent [ giga J per WEQ*yr],H05_Vraag_K [ giga J per WEQ*yr],H06_Vraag_App [ giga J per WEQ*yr],,H01_Vraag_totaal [ giga J per yr],H02_Vraag_RV [ giga J per yr],H03_Vraag_TW [ giga J per yr],H04_Vraag_Vent [ giga J per yr],H05_Vraag_K [ giga J per yr],H06_Vraag_App [ giga J per yr]
GM0307_1_14,GM0307,346.430769,343,3.43076923,,41,23,8,1,0,10,,14203.66153,7967.907687,2771.446152,346.430769,0,3464.30769
GM0307_1_47,GM0307,197.792308,4,193.792308,,66,26,3,0,13,24,,13054.29233,5142.600008,593.376924,0,2571.300004,4747.015392
GM0307_1_139,GM0307,467.530769,429,38.5307692,,45,22,7,1,1,13,,21038.88461,10285.67692,3272.715383,467.530769,467.530769,6077.899997
GM0307_1_28,GM0307,332.530769,288,44.5307692,,46,21,7,1,3,15,,15296.41537,6983.146149,2327.715383,332.530769,997.592307,4987.961535
GM0307_1_35,GM0307,17.0846154,5,12.0846154,,63,15,3,0,9,36,,1076.33077,256.269231,51.2538462,0,153.7615386,615.0461544
GM0307_1_60,GM0307,255.330769,133,122.330769,,54,19,5,0,6,25,,13787.86153,4851.284611,1276.653845,0,1531.984614,6383.269225
GM0307_1_20,GM0307,103.753846,89,14.7538462,,34,13,7,0,3,10,,3527.630764,1348.799998,726.276922,0,311.261538,1037.53846
GM0307_2_71,GM0307,1349.63846,422,927.638462,,72,37,6,0,5,24,,97173.96912,49936.62302,8097.83076,0,6748.1923,32391.32304
GM0342_18,GM0342,197.646154,123,74.6461538,,63,30,7,1,6,20,,12451.7077,5929.38462,1383.523078,197.646154,1185.876924,3952.92308
GM0342_48,GM0342,442.269231,280,162.269231,,66,30,6,1,5,24,,29189.76925,13268.07693,2653.615386,442.269231,2211.346155,10614.46154
GM0307_1_93,GM0307,67.0153846,65,2.01538462,,30,12,7,0,1,10,,2010.461538,804.1846152,469.1076922,0,67.0153846,670.153846
GM0307_1_2,GM0307,100.584615,74,26.5846154,,46,14,6,0,5,21,,4626.89229,1408.18461,603.50769,0,502.923075,2112.276915
GM0307_1_53,GM0307,280.876923,269,11.8769231,,57,34,9,1,1,12,,16009.98461,9549.815382,2527.892307,280.876923,280.876923,3370.523076
GM0307_1_122,GM0307,913.584615,90,823.584615,,82,27,3,0,20,32,,74913.93843,24666.78461,2740.753845,0,18271.6923,29234.70768
GM0342_76,GM0342,206.846154,185,21.8461538,,43,19,7,1,1,15,,8894.384622,3930.076926,1447.923078,206.846154,206.846154,3102.69231
GM0342_64,GM0342,382.907692,287,95.9076923,,54,27,7,1,7,12,,20677.01537,10338.50768,2680.353844,382.907692,2680.353844,4594.892304
GM0307_1_66,GM0307,1126.80769,194,932.807692,,57,17,4,0,6,30,,64228.03833,19155.73073,4507.23076,0,6760.84614,33804.2307
