neighbourhood,type,E,H,geothermal,HT,MT,LT,backup,undecided,useful_heat,heat_reduction
BU03070104,residences,4556.250000108001,,,27615.895731200002,,,6497.857819105881,,27615.895731200002,0.0
BU03070104,utility,4556.25000996,,,13936.716734402058,,,3279.2274669181306,,13936.716734402058,2658.3523722579416
BU03071501,residences,5939.8919976,,,35247.2227512,,,8293.464176752941,,35247.2227512,0.0
BU03071501,utility,5939.892006892499,,,12445.38407464616,,,2928.325664622625,,12445.38407464616,2416.158748633841
BU03071003,residences,6494.84999865,,,28425.764455360517,,,6688.415165967179,,28425.764455360517,908.2497625994823
BU03071003,utility,6494.8500030915,,,7014.740369634,,,1650.527145796235,,7014.740369634,0.0
BU03071301,residences,3541.9139999999998,,,,,32103.2116896,22661.09060442353,,32103.2116896,0.0
BU03071301,utility,3541.9140004619994,,,,,2638.6634858159996,1862.5859899877644,,2638.6634858159996,0.0
BU03070300,residences,5401.889999803499,,,,,31147.8530829,21986.71982322353,,31147.8530829,0.0
BU03070300,utility,5401.890001835999,,,,,4664.1277967040005,3292.3255035557654,,4664.1277967040005,0.0
BU03071704,residences,3343.113000081,,,,,20323.530228498777,14346.021337763843,,20323.530228498777,988.2896767612217
BU03071704,utility,3343.113001521,,,,,2976.5258268721454,2101.0770542626906,,2976.5258268721454,473.2976098158549
BU03072508,residences,7.856999999999999,,,,,39.43127962,27.833844437647056,,39.43127962,0.0
BU03072508,utility,7.857008587499999,,,,,11560.885548100001,8160.62509277647,,11560.885548100001,0.0
BU03070205,residences,1054.9439999512501,,,,,4952.59873628,3495.9520491388234,,4952.598736280001,0.0
BU03070205,utility,1054.9439988704999,,,,,1303.212310012,919.9145717731764,,1303.2123100119998,0.0
BU03071302,residences,4177.494000000001,,,,,29797.838838164087,21033.76859164524,,29797.838838164087,1001.9336745159139
BU03071302,utility,4177.4940014475,,,,,849.8113749668266,599.86685291776,,849.8113749668266,160.30114427317335
BU03071600,residences,4553.7119999999995,,,,,29529.36229941329,20844.255740762324,,29529.36229941329,1016.7356484267103
BU03071600,utility,4553.71200135225,,,,,5704.105462506,4026.4273852983524,,5704.105462506,0.0
BU03071201,residences,1073.2195700046245,2065.6918161493736,,,,,,,3692.5816741326435,54.1860985873563
